Format Version,1.23,Take Name,Take 2023-03-29 06.23.40 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-29 06.23.40.520 下午,Capture Start Frame,87471,Total Frames in Take,906,Total Exported Frames,906,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Left,Left,Left,Left,Left,Left,Left,Left:Marker1,Left:Marker1,Left:Marker1,Left:Marker2,Left:Marker2,Left:Marker2,Left:Marker3,Left:Marker3,Left:Marker3,Left:Marker4,Left:Marker4,Left:Marker4,Right,Right,Right,Right,Right,Right,Right,Right:Marker1,Right:Marker1,Right:Marker1,Right:Marker2,Right:Marker2,Right:Marker2,Right:Marker3,Right:Marker3,Right:Marker3,Right:Marker4,Right:Marker4,Right:Marker4,Box,Box,Box,Box,Box,Box,Box,Box:Marker1,Box:Marker1,Box:Marker1,Box:Marker2,Box:Marker2,Box:Marker2,Box:Marker3,Box:Marker3,Box:Marker3,Box:Marker4,Box:Marker4,Box:Marker4,Box:Marker1,Box:Marker1,Box:Marker1,Box:Marker2,Box:Marker2,Box:Marker2,Box:Marker3,Box:Marker3,Box:Marker3,Box:Marker4,Box:Marker4,Box:Marker4,Left:Marker1,Left:Marker1,Left:Marker1,Left:Marker2,Left:Marker2,Left:Marker2,Left:Marker3,Left:Marker3,Left:Marker3,Left:Marker4,Left:Marker4,Left:Marker4,Right:Marker1,Right:Marker1,Right:Marker1,Right:Marker2,Right:Marker2,Right:Marker2,Right:Marker3,Right:Marker3,Right:Marker3,Right:Marker4,Right:Marker4,Right:Marker4
,ID,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,7264DAA5CE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,78B3A68CCE1811ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,6375CFCECE1B11ED641E45F35C844C9A,"C5B98015CE1B11ED641E45F35C844C9A","C5B98015CE1B11ED641E45F35C844C9A","C5B98015CE1B11ED641E45F35C844C9A","C5B9801DCE1B11ED641E45F35C844C9A","C5B9801DCE1B11ED641E45F35C844C9A","C5B9801DCE1B11ED641E45F35C844C9A","C5B9801FCE1B11ED641E45F35C844C9A","C5B9801FCE1B11ED641E45F35C844C9A","C5B9801FCE1B11ED641E45F35C844C9A","C5B9801ECE1B11ED641E45F35C844C9A","C5B9801ECE1B11ED641E45F35C844C9A","C5B9801ECE1B11ED641E45F35C844C9A","C5B9801ACE1B11ED641E45F35C844C9A","C5B9801ACE1B11ED641E45F35C844C9A","C5B9801ACE1B11ED641E45F35C844C9A","C5B98018CE1B11ED641E45F35C844C9A","C5B98018CE1B11ED641E45F35C844C9A","C5B98018CE1B11ED641E45F35C844C9A","C5B9801BCE1B11ED641E45F35C844C9A","C5B9801BCE1B11ED641E45F35C844C9A","C5B9801BCE1B11ED641E45F35C844C9A","C5B98019CE1B11ED641E45F35C844C9A","C5B98019CE1B11ED641E45F35C844C9A","C5B98019CE1B11ED641E45F35C844C9A","C5B98016CE1B11ED641E45F35C844C9A","C5B98016CE1B11ED641E45F35C844C9A","C5B98016CE1B11ED641E45F35C844C9A","C5B98017CE1B11ED641E45F35C844C9A","C5B98017CE1B11ED641E45F35C844C9A","C5B98017CE1B11ED641E45F35C844C9A","C5B9801CCE1B11ED641E45F35C844C9A","C5B9801CCE1B11ED641E45F35C844C9A","C5B9801CCE1B11ED641E45F35C844C9A","C5B98020CE1B11ED641E45F35C844C9A","C5B98020CE1B11ED641E45F35C844C9A","C5B98020CE1B11ED641E45F35C844C9A"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.032550,0.490528,0.814384,0.308385,-79.610710,823.122498,212.482422,-91.883667,882.889648,252.572006,-118.731560,761.521790,232.185455,-59.565971,767.197144,163.419998,-48.261669,880.881531,201.752518,0.619037,0.546235,-0.495463,0.270069,398.255096,816.941895,196.347748,422.855927,862.814392,248.185242,436.194244,795.900452,247.724350,355.353424,849.191345,141.473602,378.616760,759.861389,148.007629,0.001108,-0.016831,0.001360,0.999857,173.746262,1087.327515,-162.837524,357.782715,1083.405884,-401.697815,-3.333032,1083.626587,-408.673157,-8.896306,1091.286499,76.224876,349.431671,1090.990723,82.796005,358.124146,1083.239258,-402.717468,-2.697927,1083.805420,-410.161865,-9.068082,1091.202759,77.777092,349.129486,1091.070312,82.775848,-91.936111,882.915283,252.950699,-118.585220,761.648010,231.873169,-59.817490,766.571472,164.080109,-48.296024,881.063477,200.766708,422.332214,861.946289,247.374039,437.761292,794.944153,249.356659,354.626312,849.448303,140.232162,379.036041,762.274048,149.826096
1,0.008000,0.033596,0.491071,0.814339,0.307528,-79.700966,823.159607,212.385559,-91.880798,882.931274,252.496780,-118.741653,761.548767,232.215286,-59.776703,767.230591,163.278259,-48.404751,880.928040,201.552216,0.619257,0.546220,-0.495158,0.270154,398.250397,816.917480,196.281189,422.815613,862.772461,248.151062,436.153564,795.858582,247.677200,355.387207,849.185669,141.387939,378.645050,759.853271,147.908463,0.001096,-0.016669,0.001407,0.999860,173.678802,1087.333008,-162.701797,357.638550,1083.422241,-401.621338,-3.479436,1083.608887,-408.480164,-8.887008,1091.281250,76.419380,349.443085,1091.019287,82.874924,358.123932,1083.238770,-402.709991,-2.698523,1083.810913,-410.172150,-9.088670,1091.216187,77.769394,349.151459,1091.091064,82.749596,-91.953690,882.940857,253.000641,-118.636284,761.663208,231.845230,-59.932224,766.665161,164.031769,-48.359951,881.116760,200.758438,422.320068,861.913452,247.388046,437.804413,794.914307,249.379303,354.704865,849.468567,140.218918,379.100159,762.287476,149.839142
2,0.016000,0.034156,0.491269,0.814280,0.307305,-79.758041,823.195557,212.370636,-91.874931,882.970642,252.495911,-118.786705,761.593262,232.250626,-59.907207,767.261414,163.239471,-48.463326,880.957214,201.496796,0.619177,0.546234,-0.495273,0.270099,398.262909,816.877991,196.233429,422.843628,862.737244,248.092178,436.180725,795.823181,247.620331,355.384216,849.141846,141.349762,378.642975,759.809814,147.871368,0.001094,-0.016841,0.001430,0.999857,173.749924,1087.329712,-162.848709,357.791779,1083.426514,-401.705139,-3.323883,1083.597046,-408.687836,-8.898005,1091.270630,76.209900,349.429871,1091.024414,82.788277,358.131592,1083.238525,-402.706360,-2.711490,1083.802368,-410.162689,-9.073807,1091.165894,77.817261,349.129150,1091.117188,82.769432,-91.953148,882.949341,253.017456,-118.685753,761.719788,231.877960,-60.048824,766.749146,163.983353,-48.410503,881.143555,200.752045,422.371796,861.896240,247.352310,437.842194,794.885559,249.349808,354.716980,849.433838,140.222122,379.130524,762.257202,149.846298
3,0.025000,0.034746,0.491084,0.814439,0.307113,-79.823944,823.259399,212.350998,-91.888863,883.003235,252.538361,-118.843452,761.647644,232.219727,-60.033611,767.362488,163.153015,-48.529865,881.024353,201.493149,0.619126,0.546302,-0.495230,0.270155,398.261444,816.839844,196.179932,422.830750,862.703552,248.040115,436.182526,795.792480,247.567444,355.377106,849.095276,141.295700,378.655273,759.768188,147.816376,0.001065,-0.016738,0.001447,0.999858,173.714462,1087.336792,-162.760849,357.707550,1083.425537,-401.654755,-3.409505,1083.583252,-408.563568,-8.884772,1091.285645,76.334862,349.444519,1091.052246,82.839996,358.132812,1083.227661,-402.708313,-2.698032,1083.804810,-410.165588,-9.082999,1091.198486,77.802567,349.142487,1091.139648,82.751358,-91.968040,882.991577,253.038132,-118.738098,761.770935,231.855453,-60.192398,766.822144,163.910385,-48.474251,881.204163,200.762878,422.383484,861.884094,247.335480,437.891541,794.851257,249.343063,354.733948,849.400391,140.216202,379.180328,762.233521,149.873291
4,0.033000,0.034900,0.491250,0.814432,0.306849,-79.844925,823.270203,212.331039,-91.902306,883.017151,252.516068,-118.834633,761.650574,232.233673,-60.068748,767.370911,163.130051,-48.574024,881.042297,201.444641,0.619056,0.546350,-0.495296,0.270100,398.344360,816.833008,196.293900,422.923828,862.697632,248.148529,436.278534,795.787048,247.672348,355.445618,849.086792,141.419983,378.729401,759.760681,147.934662,0.001088,-0.016818,0.001411,0.999857,173.742310,1087.337891,-162.827789,357.773315,1083.424561,-401.692413,-3.342599,1083.608765,-408.658966,-8.894831,1091.288696,76.238914,349.433350,1091.029053,82.801315,358.130157,1083.244263,-402.696625,-2.702350,1083.806274,-410.161835,-9.078009,1091.195312,77.813034,349.128082,1091.116211,82.759315,-91.974045,883.017822,253.057388,-118.710144,761.742188,231.808258,-60.272778,766.914185,163.884476,-48.510815,881.247009,200.739075,422.408356,861.824463,247.359940,437.915558,794.838379,249.353745,354.738159,849.385315,140.208786,379.183105,762.183655,149.860229
5,0.041000,0.035170,0.491151,0.814509,0.306772,-79.889946,823.316467,212.330460,-91.923347,883.048157,252.545273,-118.876778,761.692505,232.225510,-60.141434,767.435303,163.097763,-48.618240,881.089905,201.453552,0.618911,0.546411,-0.495422,0.270078,398.378479,816.829407,196.298981,422.969879,862.704041,248.138992,436.333954,795.795410,247.666580,355.455566,849.069946,141.436249,378.754425,759.748108,147.954010,0.001098,-0.016809,0.001403,0.999857,173.742447,1087.331299,-162.822571,357.768768,1083.419800,-401.690796,-3.347263,1083.609985,-408.650391,-8.890018,1091.280273,76.247719,349.438324,1091.014771,82.803223,358.122833,1083.246460,-402.706726,-2.713139,1083.797119,-410.154602,-9.070666,1091.192627,77.811211,349.136780,1091.097778,82.771652,-92.001114,883.054626,253.062485,-118.752296,761.787720,231.819366,-60.345535,766.966125,163.835983,-48.545383,881.289307,200.721878,422.459167,861.841919,247.349442,437.962097,794.808044,249.347977,354.733826,849.351929,140.210449,379.213440,762.177368,149.858032
