marker_01_x,marker_01_y,marker_01_z,marker_02_x,marker_02_y,marker_02_z,marker_03_x,marker_03_y,marker_03_z,marker_04_x,marker_04_y,marker_04_z,marker_05_x,marker_05_y,marker_05_z,marker_06_x,marker_06_y,marker_06_z,marker_07_x,marker_07_y,marker_07_z,marker_08_x,marker_08_y,marker_08_z
67.200912,229.217758,-403.511658,263.990875,135.171402,-429.285828,58.771233,179.43071,-210.318619,194.539368,172.817215,-429.247833,64.056618,155.962097,-146.814453,132.835968,201.38298,-420.988251,58.788296,196.324936,-268.660736,58.16811,214.755524,-333.716827
67.203697,227.920044,-404.431061,264.236023,134.322281,-429.412109,58.414501,178.634399,-211.104858,194.785294,171.783081,-429.630463,63.540737,155.350677,-147.509094,133.061234,200.186722,-421.608795,58.570827,195.35994,-269.504211,58.044491,213.630432,-334.623596
67.398529,226.672516,-405.193176,264.907654,133.596771,-429.167419,58.044579,177.671066,-211.818497,195.333755,170.952545,-429.805756,63.069683,154.530151,-148.134338,133.423248,199.159485,-422.109619,58.354343,194.301361,-270.251343,58.040512,212.420563,-335.388367
67.692886,225.595215,-405.758484,265.692932,133.455383,-429.044769,57.823029,176.727051,-212.369553,195.847519,170.379868,-429.9151,62.670868,153.703445,-148.682831,133.876038,198.361511,-422.46405,58.267128,193.332779,-270.826508,58.105942,211.415039,-335.950928
68.034081,224.843613,-406.207275,266.399536,133.249268,-428.947174,57.830524,175.904388,-212.801147,196.393784,169.944397,-430.014648,62.530617,152.899857,-149.140106,134.342346,197.776184,-422.741638,58.378975,192.511063,-271.253693,58.331844,210.584503,-336.439789
68.734924,224.241608,-406.62619,267.286285,133.076904,-428.660156,57.870476,175.304047,-213.283646,197.335754,169.637787,-429.943481,62.402496,152.277817,-149.544769,135.144028,197.364319,-422.905518,58.617378,191.928131,-271.738892,58.759506,210.006943,-336.889862
69.786682,223.939163,-407.028168,268.396912,132.819763,-428.231598,58.150913,174.844376,-213.744263,198.478134,169.495697,-429.852875,62.398014,151.785477,-150.029114,136.310852,197.200043,-423.04837,59.110504,191.525681,-272.185913,59.507771,209.665405,-337.300903
70.920258,223.9785,-407.352692,269.713559345767,132.875446158035,-427.884018162671,58.535603,174.611801,-214.193741,199.693771,169.438583,-429.735046,62.580135,151.561249,-150.432632,137.531586,197.1371,-423.165924,59.742863,191.357239,-272.621094,60.372841,209.610336,-337.736816
71.790665,224.102478,-407.521454,270.506376393675,132.679520475069,-427.703267436553,58.959541,174.663895,-214.430862,200.593857,169.365753,-429.655426,62.840057,151.555649,-150.645432,138.406723,197.16011,-423.236572,60.295399,191.429596,-272.851685,61.053375,209.755051,-337.861694
72.214317,224.520309,-407.477844,270.823769232853,132.81344024558,-427.691093316185,59.329849,174.882751,-214.351944,200.956314,169.637787,-429.629791,63.134441,151.65126,-150.701752,138.885529,197.499985,-423.190094,60.66024,191.73848,-272.745697,61.506535,210.076797,-337.805939
72.482239,225.405792,-407.10025,270.933436591783,133.514219601477,-427.824056462767,59.679192,175.255768,-214.192078,201.0896,170.385468,-429.567078,63.607674,151.802765,-150.538437,139.05481,198.372589,-422.970337,61.00909,192.263229,-272.532501,61.846001,210.750809,-337.543793
72.95121,226.818069,-406.542267,270.958256144686,134.216938237745,-427.87558882331,60.093338,175.85611,-213.834152,201.292252,171.397324,-429.365265,63.888741,152.103775,-150.35289,139.34697,199.667557,-422.608917,61.456036,193.105331,-272.095703,62.236408,211.964828,-337.003937
