taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38803,42130,41380,34699,54097,53104,157012
38712,42171,41377,34790,54168,53082,157050
38724,42089,41337,34719,54044,53078,156869
38716,42103,41390,34679,54026,53086,156888
38656,42071,41396,34709,54030,53050,156832
38634,42107,41404,34773,54052,53080,156918
38586,42137,41352,34720,54047,53022,156795
38516,42206,41365,34822,54148,53058,156909
38521,42142,41324,34764,54006,53032,156751
38502,42230,41345,34802,54061,53108,156879
38502,42149,41300,34800,54004,53058,156751
38442,42285,41264,34783,54044,53056,156774
38424,42284,41260,34817,54036,53132,156785
38446,42282,41221,34910,54026,53191,156859
38419,42325,41238,34958,54053,53193,156940
38411,42278,41211,34929,53983,53221,156829
38418,42191,41154,34913,53879,53172,156676
38466,42278,41155,34992,54041,53195,156891
38443,42237,41204,35011,54010,53202,156895
38455,42250,41182,35087,54070,53243,156974
38440,42162,41184,35120,54025,53233,156906
38462,42244,41155,35163,54088,53289,157024
38552,42101,41129,35155,54008,53257,156937
38546,42154,41115,35110,54005,53259,156925
38573,42094,41080,35111,53978,53223,156858
38641,42150,41088,35130,54100,53198,157009
38716,42153,41106,35037,54084,53194,157012
38747,42052,41121,35019,53980,53174,156939
38858,41996,41091,34906,53954,53096,156851
38941,41997,41142,34821,53970,53123,156901
38960,42017,41152,34744,54012,53044,156873
38894,42062,41250,34703,54044,53108,156909
38852,42053,41299,34696,53984,53098,156900
38813,42111,41325,34786,54062,53141,157035
38776,42112,41356,34635,54029,53072,156879
38703,42102,41354,34709,54053,53028,156868
38663,42096,41402,34671,53986,53030,156832
38649,42167,41382,34742,54108,53039,156940
38583,42223,41436,34760,54147,53098,157002
38535,42205,41292,34800,54013,53099,156832
38498,42142,41296,34746,53989,53021,156682
38473,42284,41381,34766,54128,53009,156904
38433,42214,41316,34762,54046,53041,156725
38424,42297,41279,34806,54104,53045,156806
38489,42285,41209,34871,54033,53130,156854
38405,42336,41182,34881,53989,53099,156804
38370,42293,41141,34925,53998,53127,156729
38388,42300,41192,35000,54031,53188,156880
38415,42204,41161,35056,53983,53189,156836
38462,42266,41145,35075,54017,53232,156948
38479,42189,41165,35066,53981,53238,156899
38462,42156,41183,35157,54047,53237,156958
38432,42119,41134,35095,53952,53199,156780
38498,42070,41132,35081,53899,53199,156781
38520,42034,41071,35079,53904,53157,156704
38666,42084,41134,35101,54073,53220,156985
38763,42018,41077,35014,53941,53199,156872
38792,42047,41101,34999,53976,53196,156939
38843,42022,41199,34916,53990,53191,156980
38903,42154,41142,34879,54064,53209,157078
38947,42055,41181,34807,54042,53168,156990
38932,42097,41177,34826,54005,53194,157032
38912,42073,41226,34732,53979,53173,156943
38964,42096,41309,34744,54072,53175,157113
38907,42063,41287,34653,53950,53133,156910
38905,42075,41337,34628,53954,53108,156945
38758,42049,41375,34630,53924,53099,156812
38745,42145,41443,34669,54066,53088,157002
38642,42064,41443,34571,53872,53042,156720
38538,42218,41492,34647,54059,53071,156895
38526,42130,41380,34695,53998,53055,156731
38458,42186,41364,34668,54005,53014,156676
38480,42205,41395,34738,54047,53042,156818
38434,42250,41389,34773,54091,53084,156846
38449,42245,41365,34829,54037,53103,156888
38434,42380,41307,34826,54164,53100,156947
38406,42262,41188,34806,53949,53076,156662
38440,42274,41220,34853,54013,53137,156787
38452,42296,41165,34901,54046,53127,156814
38426,42380,41225,34928,54103,53209,156959
38392,42219,41187,34990,54031,53126,156788
38468,42299,41165,35005,54067,53199,156937
38441,42115,41165,35002,53985,53159,156723
38485,42205,41166,34971,53989,53192,156827
38463,42133,41120,34988,53992,53116,156704
38542,42106,41144,35075,54036,53194,156867
38540,42093,41096,35029,53925,53175,156758
38637,42131,41143,35010,54013,53205,156921
38707,42113,41119,34961,54035,53189,156900
38722,42114,41139,34839,53957,53153,156814
38777,42046,41139,34801,53957,53108,156763
