taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38742,42134,41463,34632,54017,53131,156971
38630,42060,41372,34688,53988,53044,156750
38647,42090,41423,34690,54008,53071,156850
38576,42024,41425,34606,53917,53034,156631
38584,42087,41392,34652,53935,53013,156715
38569,42078,41367,34643,54014,52988,156657
38511,42157,41362,34703,54019,53028,156733
38486,42231,41368,34697,54057,53031,156782
38432,42178,41319,34739,53976,53066,156668
38395,42190,41248,34712,53968,52994,156545
38402,42153,41195,34811,53929,53062,156561
38318,42222,41102,34857,53925,53049,156499
38308,42228,41100,35017,54004,53113,156653
38316,42132,41070,35084,53962,53103,156602
38406,42128,41095,35143,54030,53139,156772
38369,42061,41083,35080,53931,53106,156593
38415,42056,41053,35139,53911,53161,156663
38402,42061,41119,35169,53927,53157,156751
38469,42114,41154,35230,54013,53233,156967
38468,42055,41053,35238,54001,53184,156814
38593,42027,41077,35162,54003,53147,156859
38704,42004,41056,35038,53985,53114,156802
38853,42015,41087,34900,53960,53124,156855
38881,42032,41147,34784,53948,53134,156844
38945,42054,41188,34804,53978,53183,156991
38911,42011,41172,34767,53929,53126,156861
38983,42065,41256,34708,53989,53137,157012
38990,42010,41265,34673,53928,53159,156938
38934,42039,41344,34739,54012,53145,157056
38767,42060,41272,34713,53972,53129,156812
38752,42115,41371,34708,54009,53144,156946
38727,42063,41422,34680,54016,53065,156892
38563,42190,41434,34664,54055,53037,156851
38467,42187,41235,34718,54016,52961,156607
38431,42303,41220,34790,54088,53004,156744
38427,42262,41221,34811,54080,53016,156721
38341,42322,41159,34860,54087,53019,156682
38376,42353,41150,34879,54077,53063,156758
38353,42261,41109,34878,53987,53077,156601
38396,42193,41087,34938,53916,53107,156614
38386,42235,41165,35064,54021,53164,156850
38390,42190,41132,35125,54004,53217,156837
38441,42154,41129,35207,54030,53204,156931
38493,42041,41085,35239,53960,53190,156858
38578,42013,41051,35117,53966,53147,156759
38707,42086,41105,35068,54049,53197,156966
38831,42069,41172,34981,54003,53221,157053
38900,42031,41095,34889,53984,53189,156915
38957,42077,41203,34812,54025,53207,157049
38866,42083,41194,34749,54055,53097,156892
38774,42049,41243,34766,54014,53072,156832
38675,42031,41229,34739,53960,53021,156674
38680,42044,41232,34706,53981,53023,156662
38701,42034,41294,34706,54012,53025,156735
38660,42075,41376,34773,54052,53068,156884
38525,42196,41259,34784,54121,52991,156764
38478,42175,41273,34780,54059,52992,156706
38490,42188,41212,34791,54046,52999,156681
38463,42242,41158,34851,54055,53046,156714
38420,42192,41187,34862,54014,53004,156661
38378,42186,41159,34858,53956,53032,156581
38384,42199,41161,34906,53980,53069,156650
38342,42142,41116,34931,53943,53028,156531
38353,42133,41069,34955,53921,53054,156510
38374,42096,41044,34997,53908,53071,156511
38353,42055,41044,35060,53869,53119,156512
38440,42033,41066,35076,53922,53130,156615
38507,42012,41046,35085,53927,53109,156650
38601,42038,41090,35077,53976,53184,156806
38690,41976,41100,34912,53887,53144,156678
38724,42066,41079,34884,53930,53131,156753
38816,42041,41119,34794,53922,53116,156770
38795,42097,41202,34827,54014,53155,156921
38848,42004,41163,34760,53918,53120,156775
38823,42045,41256,34745,54004,53095,156869
38721,42017,41244,34698,53978,53018,156680
