taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13423,14389,13800,15081,13349,16330,9820,53520,52453,11593,58710,45862
13422,14385,13755,15001,13329,16300,9895,53324,52508,11575,58665,45871
13413,14381,13770,15046,13330,16313,9873,53413,52484,11590,58678,45861
13391,14359,13753,15011,13328,16314,9855,53361,52399,11594,58631,45809
13389,14366,13738,15042,13338,16283,9839,53405,52379,11571,58637,45763
13401,14374,13739,15041,13325,16318,9885,53343,52427,11550,58635,45815
13376,14399,13755,15070,13333,16315,9902,53391,52506,11541,58634,45839
13366,14429,13715,15115,13337,16331,9882,53433,52471,11550,58699,45800
13366,14460,13708,15023,13347,16291,9931,53310,52535,11551,58606,45861
13369,14418,13693,15075,13358,16253,9888,53269,52459,11525,58577,45787
13370,14432,13702,15017,13384,16225,9938,53261,52516,11544,58582,45845
13352,14437,13671,15072,13416,16197,9908,53287,52480,11525,58586,45748
13341,14442,13672,15099,13475,16182,9950,53362,52512,11524,58609,45824
13340,14424,13660,15036,13515,16185,9964,53313,52515,11504,58644,45781
13372,14399,13692,15044,13536,16192,9982,53366,52546,11512,58682,45859
13367,14405,13670,14991,13528,16203,9940,53254,52529,11503,58659,45774
13359,14394,13709,14998,13553,16165,9943,53309,52532,11505,58640,45783
13360,14404,13682,14981,13541,16193,9941,53312,52552,11530,58652,45783
13370,14412,13722,15021,13582,16208,9979,53421,52609,11517,58769,45845
13385,14405,13707,14991,13560,16160,10008,53351,52579,11512,58689,45851
13395,14374,13757,14992,13518,16186,10008,53369,52543,11498,58704,45846
13430,14347,13781,15003,13477,16164,9945,53364,52494,11509,58681,45808
13439,14358,13827,14999,13439,16194,9914,53381,52492,11500,58754,45786
13449,14378,13857,14995,13389,16218,9890,53383,52493,11510,58729,45785
13453,14405,13878,14999,13367,16229,9924,53402,52578,11533,58741,45852
13451,14371,13860,14997,13376,16210,9892,53397,52496,11519,58727,45736
13449,14375,13877,15030,13344,16253,9886,53438,52497,11541,58767,45818
13436,14369,13902,14997,13339,16249,9858,53450,52455,11549,58671,45847
13424,14362,13870,15017,13355,16284,9909,53488,52491,11558,58762,45859
13405,14379,13846,15032,13365,16288,9862,53441,52443,11539,58741,45807
13403,14404,13839,15040,13352,16326,9884,53518,52480,11549,58742,45832
13417,14367,13800,15032,13326,16327,9885,53460,52503,11572,58702,45853
13405,14385,13739,15115,13348,16324,9846,53495,52460,11565,58687,45851
13382,14377,13722,15119,13341,16266,9874,53421,52396,11521,58605,45759
13372,14418,13688,15173,13377,16258,9901,53442,52471,11521,58646,45809
13375,14412,13683,15140,13391,16243,9923,53385,52479,11530,58637,45847
13359,14431,13678,15177,13386,16194,9948,53428,52473,11524,58566,45865
13364,14452,13680,15174,13417,16206,9929,53412,52524,11514,58626,45841
13370,14430,13676,15128,13456,16175,9889,53372,52479,11515,58606,45764
13354,14432,13690,15065,13477,16184,9895,53324,52484,11508,58610,45790
13356,14432,13683,15086,13517,16224,9931,53416,52545,11532,58703,45832
13371,14433,13693,15067,13548,16185,9929,53429,52555,11543,58683,45846
13364,14427,13692,15037,13562,16204,9983,53417,52583,11523,58741,45877
13386,14394,13720,14972,13562,16181,9980,53350,52603,11514,58712,45829
13410,14374,13745,14993,13520,16154,9972,53343,52558,11508,58670,45837
13421,14381,13791,15056,13508,16174,9950,53444,52552,11517,58767,45853
13432,14405,13823,14991,13467,16229,9948,53432,52563,11526,58837,45844
13467,14369,13852,15006,13445,16167,9939,53409,52533,11523,58742,45875
13469,14412,13874,15003,13386,16252,9925,53404,52604,11535,58799,45875
