marker_01_x,marker_01_y,marker_01_z,marker_02_x,marker_02_y,marker_02_z,marker_03_x,marker_03_y,marker_03_z,marker_04_x,marker_04_y,marker_04_z,marker_05_x,marker_05_y,marker_05_z,marker_06_x,marker_06_y,marker_06_z,marker_07_x,marker_07_y,marker_07_z,marker_08_x,marker_08_y,marker_08_z
379.367401,300.107819,-315.469727,382.62265,291.010956,-324.479034,377.694763,298.832764,-293.079346,359.121674,280.16983,-287.947876,368.041016,299.424286,-320.784393,358.948914,288.238495,-298.254028,365.167908,297.78299,-297.420166,359.436127,296.97525,-308.47229
379.497559,300.190796,-315.544739,382.744354,290.996643,-324.539276,377.811218,298.908936,-293.172058,359.194244,280.348389,-287.995239,368.180206,299.477783,-320.859406,359.051453,288.395996,-298.352051,365.283112,297.910431,-297.483276,359.612671,297.043793,-308.563507
379.634521,300.188751,-315.658905,382.89212,290.988434,-324.586548,377.916199,299.013824,-293.259705,359.281464,280.456879,-288.033539,368.32843,299.494354,-320.952423,359.138458,288.518158,-298.432098,365.385681,297.979584,-297.581879,359.710266,297.138672,-308.652985
379.752686,300.176849,-315.804047,383.006622,290.932281,-324.689911,378.00531,299.105255,-293.402344,359.339447,280.63678,-288.121185,368.445679,299.466583,-321.133636,359.240814,288.585541,-298.524994,365.482666,298.082581,-297.744873,359.809662,297.169312,-308.797699
379.833862,300.120697,-315.976227,383.113007,290.837402,-324.804657,378.08606,299.131134,-293.54541,359.416656,280.714264,-288.223328,368.552063,299.352631,-321.284088,359.303101,288.631409,-298.680115,365.55896,298.091156,-297.910553,359.906342,297.135681,-308.956482
380.000458,300.141083,-316.130829,383.301178,290.785645,-324.909241,378.18222,299.207672,-293.700134,359.510651,280.816315,-288.37323,368.7276,299.340698,-321.469421,359.408417,288.699249,-298.8573,365.667786,298.144806,-298.070343,360.041534,297.17514,-309.14801
380.189209,300.197449,-316.25473,383.533112,290.7742,-324.996948,378.276855,299.300995,-293.885193,359.592133,280.929443,-288.552673,368.908264,299.365265,-321.640106,359.562958,288.753265,-299.049835,365.795044,298.223358,-298.126984,360.207245,297.210785,-309.341675
380.330048,300.265411,-316.26059,383.741302,290.826416,-324.993591,378.354034,299.319,-293.854584,359.717834,280.86972,-288.615723,369.088806,299.385529,-321.699463,359.667938,288.728943,-299.117126,365.880157,298.239105,-298.27359,360.338776,297.244537,-309.395355
380.497253,300.327881,-316.285461,383.989838,290.869934,-324.983337,378.461578,299.366577,-293.875763,359.822784,280.907959,-288.729584,369.266144,299.388153,-321.738007,359.81958,288.670868,-299.203766,366.003845,298.241241,-298.352692,360.504181,297.236664,-309.479462
380.676483,300.408112,-316.284882,384.25705,290.921783,-324.966766,378.583466,299.479095,-293.897125,359.974731,280.996063,-288.770508,369.484985,299.414978,-321.791534,359.966675,288.800354,-299.318726,366.15329,298.304901,-298.42337,360.716736,297.272064,-309.557465
380.99649,300.543304,-316.149048,384.575531,291.030762,-324.816742,378.820862,299.606171,-293.788818,360.22113,281.092255,-288.67868,369.801025,299.496643,-321.650879,360.250977,288.880676,-299.184021,366.397705,298.44223,-298.324768,360.955933,297.390442,-309.469666
381.322906,300.670013,-315.989349,384.944641,291.105957,-324.61499,379.13504,299.761993,-293.486969,360.526245,281.276581,-288.52359,370.159973,299.513794,-321.478119,360.584473,288.980835,-299.041077,366.716248,298.571198,-298.186066,361.334534,297.496429,-309.308899
381.707642,300.816162,-315.811035,385.305725,291.180237,-324.409119,379.557526,299.928284,-293.437958,360.879089,281.554321,-288.292114,370.531525,299.71347,-321.333496,360.998444,289.147827,-298.810608,367.125671,298.80545,-297.984711,361.684662,297.747009,-309.122711
