taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38959,41975,41124,34627,53705,52987,156685
38947,41977,41104,34616,53740,52967,156644
38942,42110,41090,34638,53834,53001,156780
38983,42016,41087,34628,53748,53001,156714
38974,42009,41123,34646,53792,52989,156752
38960,41988,41097,34649,53774,52973,156694
38925,42014,41068,34651,53772,52926,156658
38917,42050,41149,34649,53803,52979,156765
38940,42070,41108,34766,53836,53026,156884
38922,41997,41141,34672,53790,52950,156732
38957,42051,41124,34678,53818,53043,156810
39020,42044,41132,34678,53872,53010,156874
39007,42038,41142,34660,53849,52987,156847
38975,42033,41114,34630,53765,53009,156752
38988,42028,41144,34639,53817,53014,156799
38937,42044,41116,34682,53799,53001,156779
38978,42115,41130,34653,53820,53068,156876
38931,42055,41128,34729,53854,53041,156843
38963,42048,41107,34613,53805,52938,156731
38983,42057,41077,34646,53765,53008,156763
38956,42052,41140,34687,53836,53028,156835
38972,42014,41082,34683,53798,53014,156751
39017,42068,41202,34732,53901,53057,157019
38964,42048,41174,34653,53864,53037,156839
38934,41998,41084,34630,53785,52966,156646
38935,42045,41083,34667,53852,52972,156730
38908,41972,41083,34633,53732,52956,156596
38914,41994,41100,34608,53739,52954,156616
38949,41946,41092,34619,53692,52985,156606
38966,42048,41109,34653,53778,53026,156776
38911,42002,41071,34639,53726,52962,156623
38955,41947,41112,34628,53710,52982,156642
38955,41984,41089,34698,53790,52954,156726
38965,41963,41101,34683,53786,52981,156712
38960,42027,41094,34723,53807,53026,156804
38924,41979,41094,34684,53799,52964,156681
38918,41982,41103,34626,53772,52976,156629
38882,41952,41086,34605,53761,52947,156525
38878,42067,41148,34630,53854,52977,156723
38954,41999,41094,34630,53783,53018,156677
38912,42006,41129,34671,53833,52998,156718
38899,41965,41125,34622,53799,52981,156611
38816,42011,41050,34670,53768,52988,156547
38861,41921,41070,34568,53666,52949,156420
38867,41989,41096,34644,53812,52989,156596
38892,41920,41029,34630,53724,52944,156471
38905,41991,41090,34653,53794,53008,156639
38921,41985,41092,34665,53782,52996,156663
38879,41964,41115,34601,53779,52993,156559
38899,41918,41058,34594,53710,52979,156469
38877,41957,41104,34652,53769,53013,156590
38875,42021,41128,34738,53849,53069,156762
38921,42003,41144,34644,53794,53051,156712
38859,41957,41160,34670,53830,53035,156646
38846,42079,41150,34699,53875,53060,156774
38887,41934,41112,34699,53825,53016,156632
38850,41983,41093,34637,53806,53018,156563
38807,42089,41150,34682,53872,53044,156728
38896,41996,41154,34745,53830,53073,156791
38915,42062,41128,34731,53855,53099,156836
38856,42017,41111,34752,53796,53117,156736
38845,41985,41120,34690,53809,53038,156640
38842,42010,41112,34676,53769,53012,156640
38877,42081,41067,34718,53853,53077,156743
38871,41970,41111,34747,53817,53062,156699
38905,41992,41147,34708,53844,53044,156752
38920,42014,41142,34732,53819,53093,156808
38880,42007,41103,34682,53813,53038,156672
38890,42021,41128,34719,53817,53074,156758
38884,42071,41069,34784,53864,53131,156808
38910,42073,41163,34774,53911,53110,156920
38885,42134,41120,34830,53935,53135,156969
38924,41998,41160,34708,53879,53029,156790
38945,42021,41153,34752,53850,53123,156871
38926,42020,41119,34707,53809,53045,156772
