marker_01_x,marker_01_y,marker_01_z,marker_02_x,marker_02_y,marker_02_z,marker_03_x,marker_03_y,marker_03_z,marker_04_x,marker_04_y,marker_04_z,marker_05_x,marker_05_y,marker_05_z,marker_06_x,marker_06_y,marker_06_z,marker_07_x,marker_07_y,marker_07_z,marker_08_x,marker_08_y,marker_08_z
277.211639,146.328323,-388.11142,383.557343,133.774399,-419.277405,365.536194,257.054901,-354.9823,410.820038,186.6008,-401.902252,306.70813,243.317474,-347.361542,406.005463,234.912384,-376.845886,323.776093,120.972267,-411.739563,279.715149,200.123535,-361.406708
277.371155,146.736496,-387.83905,383.848633,134.635086,-418.728851,365.129333,257.834412,-354.485321,410.817108,187.572937,-401.304291,306.308563,243.848541,-347.008911,405.794525,235.875946,-376.242249,324.113098,121.585716,-411.354584,279.551666,200.566406,-361.152039
277.343018,147.156113,-387.450623,383.901978,135.331863,-418.191406,364.668396,258.561005,-354.023712,410.671204,188.443176,-400.75705,305.850067,244.390717,-346.608215,405.389404,236.702072,-375.735809,324.134338,122.14827,-410.878845,279.29007,200.984467,-360.724304
277.137726,147.629486,-386.960358,383.701233,136.218658,-417.739502,364.16272,259.266235,-353.550201,410.369446,189.275848,-400.272339,305.390869,244.929413,-346.140289,404.986725,237.517578,-375.237793,324.080933,122.721786,-410.391571,278.926483,201.498383,-360.305939
277.002075,148.092621,-386.509918,383.647186,136.949646,-417.287994,363.702637,259.99115,-353.060944,410.150452,190.169327,-399.816681,305.000824,245.448807,-345.630615,404.588074,238.383881,-374.778778,324.017517,123.388405,-409.951233,278.649384,201.929672,-359.791168
276.929596,148.562775,-386.23996,383.605621,137.790192,-416.952026,363.265503,260.669586,-352.605743,409.968109,191.015945,-399.404266,304.587952,245.973923,-345.24353,404.260437,239.191879,-374.319031,324.016144,124.012703,-409.72821,278.378754,202.358231,-359.422607
276.902771,148.998734,-386.176788,383.663147,138.581985,-416.759705,362.878357,261.278625,-352.186371,409.828766,191.91658,-399.059937,304.219757,246.396164,-344.907776,403.927551,240.018112,-373.873566,324.121155,124.632355,-409.606384,278.159241,202.747574,-359.218109
276.997131,149.361359,-386.186523,383.849121,139.404175,-416.64212,362.557098,261.860229,-351.833282,409.84729,192.7173,-398.776672,303.925568,246.738419,-344.653229,403.735626,240.748993,-373.50177,324.351044,125.198952,-409.60202,278.037048,203.005295,-359.099426
277.201324,149.615875,-386.297363,384.146362,140.058746,-416.531891,362.306091,262.312408,-351.53772,409.911377,193.428268,-398.520874,303.710632,246.991745,-344.506714,403.594757,241.387466,-373.169769,324.637512,125.676865,-409.67041,277.986694,203.243958,-359.097473
277.350159,149.768341,-386.306976,384.393494,140.473953,-416.367493,362.131927,262.666565,-351.29953,409.978607,193.958267,-398.278656,303.577637,247.186172,-344.361359,403.49881,241.883377,-372.895233,324.948761,125.984306,-409.637848,277.975189,203.360779,-359.042816
