taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13445,14419,13793,15109,13409,16226,9923,53548,52554,11613,58655,46199
13492,14404,13811,15056,13411,16245,9967,53486,52649,11616,58700,46256
13426,14388,13790,15072,13412,16217,9925,53485,52533,11616,58647,46156
13423,14407,13805,15066,13395,16213,9898,53460,52507,11608,58640,46144
13406,14391,13780,15088,13391,16181,9913,53434,52504,11587,58554,46115
13420,14378,13810,15061,13382,16213,9905,53438,52504,11635,58600,46188
13422,14374,13781,15012,13382,16198,9914,53367,52456,11599,58545,46128
13424,14392,13782,15064,13411,16233,9904,53418,52524,11579,58680,46074
13423,14377,13794,15059,13414,16217,9926,53423,52530,11594,58618,46156
13436,14383,13811,15039,13417,16214,9930,53414,52539,11624,58648,46225
13420,14393,13802,15082,13391,16210,9876,53477,52473,11598,58632,46080
13409,14386,13806,15084,13400,16211,9909,53487,52514,11601,58628,46095
13426,14368,13797,15059,13392,16195,9884,53426,52456,11610,58606,46101
13430,14367,13825,15073,13403,16210,9911,53483,52499,11612,58626,46175
13434,14359,13812,15048,13386,16208,9927,53425,52523,11592,58585,46130
13412,14430,13795,15019,13385,16224,9910,53383,52577,11607,58631,46115
13436,14365,13815,14995,13411,16207,9925,53399,52484,11592,58616,46108
13392,14382,13837,15038,13401,16218,9910,53484,52463,11621,58638,46143
13412,14357,13821,15073,13391,16231,9928,53479,52480,11624,58661,46160
13452,14398,13851,15049,13395,16216,9943,53463,52587,11609,58646,46224
13412,14432,13807,15059,13409,16189,9919,53484,52555,11621,58613,46189
13429,14377,13823,15059,13384,16201,9932,53469,52509,11592,58604,46140
13413,14387,13832,15105,13397,16228,9888,53510,52469,11574,58681,46094
13396,14369,13818,15106,13393,16245,9902,53505,52483,11611,58703,46142
13397,14388,13845,15033,13392,16224,9929,53484,52491,11601,58633,46150
13431,14409,13839,15094,13415,16228,9916,53546,52537,11610,58727,46161
13427,14385,13855,15070,13409,16280,9930,53567,52562,11615,58757,46197
13439,14391,13874,15122,13421,16252,9927,53650,52589,11629,58751,46234
13416,14401,13854,15154,13411,16239,9937,53614,52552,11603,58755,46215
13428,14403,13843,15109,13399,16249,9948,53581,52576,11634,58729,46245
13428,14391,13865,15061,13395,16237,9946,53543,52533,11607,58690,46192
13426,14420,13853,15132,13411,16244,9925,53629,52591,11610,58741,46209
13426,14430,13857,15112,13422,16218,9940,53610,52600,11624,58750,46211
13436,14408,13854,15102,13426,16255,9961,53605,52619,11610,58742,46304
13416,14420,13821,15119,13388,16258,9948,53587,52569,11596,58703,46221
13411,14423,13838,15061,13387,16278,9919,53550,52585,11614,58709,46166
13415,14381,13838,15094,13408,16246,9930,53548,52541,11609,58684,46224
13430,14396,13827,15076,13405,16253,9942,53539,52590,11604,58674,46208
13427,14396,13831,15089,13422,16235,9942,53537,52561,11593,58716,46157
13437,14421,13858,15127,13408,16247,9935,53615,52597,11607,58724,46234
13415,14406,13840,15116,13424,16221,9919,53558,52533,11600,58716,46137
13410,14385,13824,15120,13419,16208,9922,53573,52526,11604,58668,46210
13407,14391,13819,15011,13391,16224,9896,53418,52472,11572,58649,46062
13429,14385,13838,15042,13416,16248,9937,53480,52553,11596,58691,46185
13436,14454,13825,15139,13413,16211,9941,53584,52629,11621,58674,46237
13418,14385,13814,15055,13385,16201,9937,53465,52526,11604,58626,46177
13390,14353,13811,15098,13410,16208,9923,53488,52439,11583,58621,46136
13419,14383,13833,15038,13399,16284,9898,53492,52480,11586,58722,46095
13411,14391,13843,15098,13394,16225,9931,53562,52502,11593,58687,46170
13415,14394,13816,15099,13411,16213,9910,53506,52503,11589,58664,46143
13406,14377,13833,15072,13401,16220,9937,53535,52482,11578,58646,46167
13429,14391,13834,15092,13409,16191,9932,53518,52549,11623,58655,46236
13409,14385,13860,15057,13407,16245,9936,53564,52515,11593,58718,46157
13422,14384,13840,15089,13404,16247,9961,53549,52519,11604,58673,46265
13399,14418,13823,15025,13396,16287,9913,53503,52520,11610,58706,46145
13431,14429,13839,15042,13387,16242,9931,53484,52613,11603,58714,46179
13439,14412,13851,15066,13405,16224,9944,53547,52581,11599,58683,46182
13418,14400,13847,15077,13404,16208,9938,53575,52510,11601,58642,46216
13395,14414,13840,15059,13401,16233,9926,53494,52536,11632,58702,46169
13404,14396,13843,15075,13395,16244,9920,53541,52520,11610,58689,46155
13417,14373,13861,15040,13391,16267,9914,53513,52519,11586,58694,46156
13462,14391,13857,15092,13405,16212,9936,53525,52587,11581,58705,46176
13415,14407,13828,15062,13407,16218,9938,53502,52541,11599,58659,46164
13410,14400,13826,15062,13402,16211,9936,53473,52549,11595,58656,46173
13406,14352,13826,15035,13402,16180,9890,53433,52436,11574,58623,46040
13415,14392,13851,15093,13397,16250,9937,53532,52539,11584,58689,46171
13436,14413,13839,15046,13402,16247,9889,53461,52573,11612,58746,46112
13433,14399,13836,15022,13410,16244,9938,53510,52590,11608,58720,46156
13443,14377,13870,15056,13396,16234,9918,53546,52556,11574,58691,46128
13420,14382,13863,15091,13428,16227,9949,53582,52553,11580,58737,46184
13415,14398,13880,15092,13383,16206,9935,53574,52509,11593,58689,46198
13424,14416,13877,15083,13396,16239,9930,53554,52557,11594,58716,46178
13412,14397,13866,15063,13410,16234,9938,53555,52527,11575,58715,46117
13419,14367,13882,15069,13412,16241,9965,53608,52551,11578,58728,46169
13432,14384,13871,15082,13376,16238,9924,53565,52539,11596,58683,46171
13430,14400,13875,15084,13393,16227,9953,53587,52586,11586,58722,46183
13423,14433,13865,15049,13425,16255,9921,53546,52579,11572,58766,46106
13430,14393,13880,15113,13410,16236,9933,53631,52551,11579,58765,46134
13417,14440,13857,15088,13400,16215,9966,53570,52598,11584,58728,46154
13438,14414,13875,15056,13390,16245,9931,53541,52554,11585,58730,46153
13427,14383,13864,15041,13401,16270,9948,53497,52598,11561,58752,46084
13437,14417,13904,15083,13398,16232,9952,53593,52617,11572,58755,46123
13444,14385,13874,15103,13400,16226,9919,53570,52511,11555,58722,46099
13452,14401,13875,15079,13426,16284,9948,53648,52597,11557,58866,46113
13426,14371,13858,15092,13397,16236,9949,53559,52503,11568,58719,46126
13434,14391,13843,15086,13394,16280,9967,53566,52596,11566,58753,46137
13430,14392,13846,15096,13416,16215,9951,53544,52580,11574,58723,46157
13414,14379,13852,15084,13416,16240,9956,53567,52525,11571,58758,46140
13419,14367,13835,14993,13402,16252,9943,53416,52533,11562,58693,46088
13411,14355,13842,15073,13403,16217,9934,53525,52453,11561,58663,46111
13416,14387,13828,15034,13398,16210,9936,53463,52495,11580,58659,46121
13420,14391,13834,15045,13414,16248,9976,53458,52593,11585,58718,46163
13436,14417,13864,15085,13455,16267,9963,53591,52619,11588,58829,46202
13430,14415,13835,15052,13412,16262,9980,53503,52623,11600,58759,46206
13411,14405,13830,15065,13420,16226,9943,53493,52522,11595,58712,46133
13413,14391,13830,15092,13418,16254,9968,53559,52553,11582,58746,46155
13395,14377,13801,15098,13417,16270,9965,53530,52502,11595,58707,46154
13422,14438,13834,15156,13443,16245,9982,53625,52624,11596,58796,46232
13419,14426,13844,15084,13438,16238,10015,53590,52653,11594,58761,46243
13434,14428,13859,15073,13441,16281,9984,53571,52664,11619,58813,46223
13417,14383,13842,15117,13425,16238,9976,53594,52547,11584,58755,46165
13415,14389,13860,15117,13411,16287,9943,53641,52490,11605,58769,46173
13432,14435,13828,15083,13449,16293,9985,53552,52599,11593,58823,46222
13415,14396,13853,15046,13423,16295,9990,53525,52590,11596,58750,46214
13430,14405,13843,15100,13434,16204,9992,53568,52604,11589,58709,46231
13407,14397,13855,15121,13444,16216,9967,53597,52548,11583,58755,46226
13411,14398,13863,15112,13422,16252,9989,53624,52543,11571,58764,46181
13414,14385,13855,15095,13434,16245,9998,53601,52539,11587,58757,46247
13404,14402,13849,15092,13451,16244,9981,53580,52537,11582,58779,46176
13445,14422,13876,15072,13443,16271,9991,53598,52652,11588,58781,46265
13409,14368,13870,15093,13442,16238,9991,53622,52560,11579,58758,46212
13414,14428,13870,15077,13458,16233,9995,53614,52618,11604,58786,46247
13414,14399,13869,15084,13412,16242,9995,53582,52573,11581,58708,46229
13404,14407,13855,15123,13441,16258,9979,53609,52583,11583,58758,46229
13431,14402,13835,15109,13428,16239,9987,53540,52609,11584,58773,46169
13432,14443,13839,15150,13447,16256,9994,53661,52659,11595,58832,46235
13432,14428,13847,15063,13440,16269,10007,53584,52662,11601,58782,46221
13410,14416,13824,15152,13457,16244,9966,53638,52585,11609,58794,46192
13403,14393,13836,15083,13426,16258,10011,53569,52557,11597,58735,46218
13419,14401,13852,15103,13439,16314,9947,53674,52540,11596,58832,46186
13410,14431,13839,15120,13433,16274,10009,53626,52609,11604,58801,46226
13435,14409,13848,15142,13443,16314,10026,53631,52669,11596,58841,46256
13436,14409,13828,15078,13433,16238,10030,53517,52599,11583,58741,46239
13417,14421,13853,15124,13449,16282,10013,53639,52636,11595,58802,46260
13419,14432,13837,15067,13442,16252,9997,53542,52642,11612,58779,46228
13417,14417,13821,15074,13425,16224,10013,53516,52601,11609,58675,46271
13411,14408,13787,15098,13425,16256,9995,53518,52578,11612,58699,46233
13418,14424,13827,15060,13442,16250,10011,53545,52607,11620,58783,46234
13412,14418,13808,15079,13418,16267,10001,53539,52618,11627,58702,46257
