taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
39107,42171,41231,34800,54032,53150,157309
39120,42177,41241,34891,54069,53185,157429
39141,42155,41205,34801,53986,53166,157302
39117,42225,41256,34880,54081,53251,157478
39121,42165,41274,34914,54075,53208,157474
39131,42200,41253,34863,54079,53189,157447
39129,42205,41259,34827,54069,53201,157420
39109,42254,41222,34829,54073,53196,157414
39120,42191,41236,34816,54031,53184,157363
39144,42220,41274,34880,54066,53265,157518
39129,42252,41309,34843,54083,53237,157533
39144,42207,41278,34868,54059,53227,157497
39092,42168,41235,34838,54057,53204,157333
39139,42214,41294,34827,54031,53258,157474
39076,42143,41215,34820,53962,53182,157254
39167,42257,41268,34856,54134,53220,157548
39110,42160,41253,34881,54026,53245,157404
39153,42204,41235,34889,54026,53262,157481
39110,42223,41212,34864,54028,53239,157409
39139,42203,41276,34877,54044,53255,157495
39178,42172,41306,34886,54083,53251,157542
39159,42234,41310,34958,54157,53284,157661
39202,42239,41341,34948,54193,53291,157730
39196,42281,41323,34903,54169,53311,157703
39193,42257,41277,34919,54150,53273,157646
39160,42268,41281,34907,54174,53263,157616
39137,42213,41334,34861,54083,53230,157545
39163,42240,41313,34888,54150,53253,157604
39082,42285,41308,34890,54158,53207,157565
39138,42299,41291,34911,54099,53278,157639
39103,42194,41263,34884,54083,53191,157444
39111,42258,41273,34896,54089,53253,157538
39158,42161,41242,34896,54040,53220,157457
39132,42189,41249,34898,54117,53193,157468
39129,42170,41244,34893,54070,53221,157436
39146,42217,41258,34916,54142,53210,157537
39080,42180,41342,34837,54013,53222,157439
39137,42185,41286,34909,54085,53227,157517
39108,42241,41211,34877,54093,53217,157437
39127,42260,41267,34934,54170,53232,157588
39098,42256,41289,34897,54068,53248,157540
39123,42249,41279,34894,54159,53243,157545
39110,42274,41265,34922,54164,53235,157571
39144,42134,41287,34922,54086,53212,157487
39081,42269,41259,34877,54106,53224,157486
39123,42302,41285,34944,54187,53258,157654
39103,42249,41268,34903,54106,53232,157523
39107,42305,41354,34933,54158,53284,157699
39120,42242,41291,34923,54165,53244,157576
39115,42186,41318,34905,54065,53278,157524
39067,42273,41328,34927,54159,53235,157595
39126,42273,41354,34937,54150,53279,157690
39139,42241,41300,34965,54144,53262,157645
39154,42343,41373,34947,54254,53312,157817
39131,42188,41261,34885,54064,53208,157465
39101,42296,41228,34922,54185,53201,157547
39111,42265,41350,34935,54126,53298,157661
39149,42280,41342,34973,54203,53309,157744
39109,42238,41320,34956,54112,53289,157623
39109,42238,41337,34994,54193,53285,157678
39107,42169,41275,34910,54066,53251,157461
39108,42205,41304,34900,54064,53278,157517
39049,42177,41246,34934,54076,53181,157406
39045,42262,41296,34951,54081,53273,157554
39111,42183,41260,34946,54114,53226,157500
39073,42274,41266,34959,54166,53260,157572
39012,42239,41289,34972,54107,53258,157512
39073,42191,41284,34939,54112,53225,157487
39060,42228,41273,34966,54149,53259,157527
39126,42241,41285,35045,54221,53291,157697
39077,42249,41251,35034,54175,53277,157611
39077,42282,41314,35044,54193,53332,157717
39041,42198,41260,34986,54121,53226,157485
39047,42255,41222,35007,54147,53259,157531
39052,42240,41222,35015,54169,53230,157529
39089,42211,41257,34984,54144,53219,157541
39125,42224,41238,35018,54129,53297,157605
39164,42287,41271,35034,54193,53318,157756
