taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
39581,42976,42131,35714,55313,54348,160402
39559,42930,42048,35699,55236,54256,160236
39593,42941,42011,35701,55224,54266,160246
39585,42947,41961,35619,55241,54176,160112
39686,42938,41950,35614,55271,54145,160188
39553,42885,41930,35662,55228,54094,160030
39592,42954,41880,35666,55156,54204,160092
39606,42932,41958,35640,55220,54157,160136
39618,42932,41954,35724,55301,54164,160228
39600,42948,41871,35657,55170,54169,160076
39572,42895,41847,35625,55107,54140,159939
39536,42912,41849,35637,55123,54134,159934
39468,42880,41804,35569,55032,53970,159721
39462,42870,41772,35542,55014,53974,159646
39535,42836,41809,35594,55020,54012,159774
39507,42757,41763,35533,54918,53931,159560
39468,42873,41761,35562,54989,53964,159664
39509,42783,41663,35490,54895,53948,159445
39461,42850,41739,35492,54932,53991,159542
39464,42766,41668,35535,54920,53952,159433
39476,42821,41763,35589,54994,54022,159649
39418,42849,41764,35596,55003,54128,159627
39390,42779,41787,35602,54955,54120,159558
39368,42852,41709,35522,54934,54056,159451
39317,42837,41795,35522,54942,54040,159471
39390,42740,41784,35552,54947,53984,159466
39418,42795,41695,35513,54979,54017,159421
39293,42826,41694,35583,54930,54032,159396
39329,42773,41667,35553,54878,54005,159322
39336,42806,41703,35539,54969,53990,159384
39378,42759,41757,35572,55008,53980,159466
39314,42706,41697,35536,54898,53943,159253
39365,42825,41762,35517,54979,53985,159469
39390,42760,41725,35572,54977,53999,159447
39355,42830,41766,35537,54999,53978,159488
39318,42690,41746,35576,54835,53995,159330
39350,42775,41716,35584,55013,53922,159425
39281,42818,41715,35481,54891,53930,159295
39336,42842,41710,35585,55026,53964,159473
39337,42825,41718,35537,54903,53989,159417
39344,42877,41801,35574,55066,53976,159596
39387,42798,41754,35558,55001,53939,159497
39318,42691,41696,35539,54905,53849,159244
39335,42716,41709,35527,54919,53872,159287
39405,42852,41681,35575,55021,53959,159513
39318,42843,41738,35613,55046,53980,159512
39373,42813,41729,35613,55019,53960,159528
39352,42833,41781,35637,55076,53934,159603
39395,42803,41778,35656,55116,53966,159632
39380,42806,41839,35636,55070,53959,159661
39407,42876,41783,35702,55122,53981,159768
39404,42905,41737,35749,55188,53992,159795
39432,42901,41825,35733,55156,54029,159891
39373,42859,41769,35726,55084,53972,159727
39367,42886,41895,35701,55106,54012,159849
39330,42901,41774,35763,55172,53943,159768
39410,42942,41837,35766,55165,54043,159955
39389,42907,41828,35790,55114,54029,159914
39360,42948,41895,35772,55154,54046,159975
39363,42855,41803,35834,55146,53961,159855
39412,42873,41774,35793,55143,53990,159852
39412,42847,41804,35780,55153,54018,159843
39440,42933,41825,35843,55189,54053,160041
39418,42937,41845,35837,55184,54033,160037
39449,42897,41879,35779,55155,54004,160004
39481,42902,41818,35764,55161,54041,159965
39442,42860,41769,35794,55121,53979,159865
39451,42867,41813,35764,55133,54026,159895
39406,42944,41747,35795,55169,54003,159892
39445,42823,41806,35742,55120,53955,159816
39400,42891,41812,35770,55128,53999,159873
39467,42880,41771,35756,55105,53984,159874
39403,42907,41849,35774,55145,53990,159933
39434,42854,41802,35703,55088,53911,159793
39398,42921,41782,35722,55052,54009,159823
39485,42908,41838,35759,55141,54013,159990
39454,42941,41813,35713,55100,53980,159921
39440,42818,41826,35711,55076,53937,159795
39411,42886,41869,35718,55128,53959,159884
39368,42850,41817,35709,55046,53928,159744
39475,42881,41945,35728,55184,54000,160029
39361,42903,41771,35641,54959,53956,159676
39410,42962,41910,35665,55058,54012,159947
39384,42865,41934,35659,55060,53913,159842
39365,42886,41904,35653,55034,53982,159808
39339,42885,41825,35643,54965,53948,159692
39369,42887,41905,35641,55075,53938,159802
39407,42909,41837,35647,55093,53950,159800
39425,42953,41984,35737,55201,54026,160099
39388,42888,41858,35666,55061,53941,159800
39323,42873,41892,35698,55052,53971,159786
39360,42885,41875,35664,55005,54012,159784
39376,42928,41943,35677,55134,54000,159924
39372,42873,41860,35683,55066,53943,159788
39426,42936,41865,35680,55138,53969,159907
39340,42864,41817,35664,55030,53965,159685
39349,42882,41858,35673,55085,53951,159762
39375,42921,41844,35656,55057,53991,159796
39374,42956,41866,35679,55178,54017,159875
39388,42887,41808,35665,55058,53999,159748
39404,42850,41847,35633,55061,53926,159734
39362,42818,41781,35571,54962,53907,159532
39420,42837,41810,35605,55048,53973,159672
39459,42871,41751,35516,55009,53960,159597
39459,42808,41815,35613,55033,53955,159695
39457,42856,41767,35567,54964,54025,159647
39413,42872,41773,35608,55072,53953,159666
39416,42779,41666,35532,54884,53926,159393
39493,42781,41768,35560,55005,53954,159602
39441,42746,41707,35513,54912,53915,159407
39408,42853,41739,35564,54950,53986,159564
39506,42742,41684,35584,54954,53955,159516
39546,42781,41707,35524,54922,54032,159558
39444,42711,41633,35470,54856,53845,159258
39394,42666,41601,35439,54773,53858,159100
39369,42705,41634,35391,54755,53802,159099
39484,42791,41679,35540,54924,53995,159494
39465,42754,41614,35476,54815,53933,159309
39478,42795,41694,35515,54924,54008,159482
39437,42771,41689,35484,54890,53952,159381
39466,42762,41721,35483,54880,53951,159432
39467,42821,41713,35531,55006,53959,159532
39437,42818,41744,35505,54967,53932,159504
39413,42810,41629,35545,54846,53987,159397
39417,42825,41676,35541,54924,53978,159459
39374,42713,41636,35435,54846,53830,159158
39365,42823,41657,35513,54887,53929,159358
39430,42734,41650,35460,54920,53827,159274
39359,42805,41752,35526,54957,53917,159442
39397,42715,41717,35491,54918,53887,159320
39361,42767,41720,35488,54887,53918,159336
39360,42803,41669,35490,54905,53868,159322
39393,42767,41703,35522,54915,53932,159385
39311,42784,41705,35523,54929,53890,159323
39352,42818,41717,35468,54913,53886,159355
39415,42839,41743,35545,54954,53975,159542
39410,42847,41740,35548,55022,53971,159545
39320,42781,41695,35515,54937,53877,159311
39385,42766,41715,35525,54964,53927,159391
39366,42721,41717,35539,54916,53891,159343
39412,42826,41727,35498,54940,53937,159463
39397,42815,41754,35528,54965,53949,159494
39410,42816,41781,35569,55005,53967,159576
39407,42775,41718,35531,54974,53869,159431
39411,42834,41777,35558,55015,53938,159580
39353,42801,41714,35507,54951,53878,159375
39447,42835,41772,35571,55078,53932,159625
39488,42796,41773,35597,55052,53948,159654
39455,42815,41783,35583,55061,53978,159636
39408,42771,41752,35560,54954,53916,159491
39423,42828,41792,35570,55032,53952,159613
39421,42847,41821,35619,55067,53987,159708
39446,42860,41795,35639,55092,54011,159740
39400,42846,41835,35610,55023,53988,159691
39439,42884,41849,35621,55109,54008,159793
39439,42863,41796,35608,55092,53974,159706
39403,42860,41755,35590,55031,53927,159608
39423,42835,41789,35542,54959,53959,159589
39408,42838,41817,35640,55111,53970,159703
39489,42795,41798,35597,55015,53980,159679
39542,42873,41837,35573,55128,54029,159825
39475,42888,41836,35568,55030,54028,159767
39557,42836,41908,35640,55129,54056,159941
39525,42857,41845,35603,55104,53982,159830
39548,42887,41953,35625,55093,54088,160013
39510,42911,41860,35608,55063,54074,159889
39607,42908,41934,35617,55136,54086,160066
39558,42909,41821,35552,55054,54040,159840
39593,42956,41890,35609,55179,54090,160048
39638,42895,41888,35552,55050,54097,159973
39611,42966,42015,35618,55092,54180,160210
39692,42905,41976,35587,55168,54097,160160
39667,42967,41901,35569,55084,54101,160104
39588,42858,41934,35552,55026,54036,159932
39589,42955,41918,35604,55118,54102,160066
39581,42868,41933,35550,55028,54056,159932
39654,42881,41989,35616,55088,54132,160140
39629,42931,41987,35682,55141,54127,160229
39660,42943,42018,35578,55059,54158,160199
39630,42898,42029,35497,55040,54115,160054
39682,42891,42000,35612,55087,54167,160185
39647,42874,41994,35628,55170,54052,160143
39687,42862,42028,35595,55076,54141,160172
39645,42938,42041,35618,55123,54108,160242
39676,42935,42050,35639,55185,54177,160300
39642,42870,42035,35561,55023,54106,160108
39638,42906,41981,35577,55099,54121,160102
39579,42928,41959,35603,55060,54120,160069
39641,42916,42025,35607,55133,54173,160189
39621,42935,41929,35579,55113,54110,160064
39601,42893,42009,35576,54994,54142,160079
39577,42966,42029,35586,55155,54118,160158
39570,42855,41980,35535,55056,54032,159940
39599,42870,41958,35511,55063,54048,159938
39529,42888,41939,35602,55091,54098,159958
39533,42871,41882,35579,55100,54024,159865
39552,42906,42009,35582,55126,54082,160049
39573,42819,41863,35550,55055,53998,159805
39539,42879,41838,35639,55083,54083,159895
39570,42857,41870,35595,55057,54049,159892
39552,42893,41868,35642,55144,54042,159955
39610,42864,41883,35662,55143,54096,160019
39618,42880,41872,35649,55157,54048,160019
39548,42821,41795,35616,55033,53975,159780
39607,42890,41868,35621,55145,54067,159986
39560,42866,41817,35636,55080,54027,159879
39613,42902,41816,35633,55157,54036,159964
39615,42862,41838,35630,55114,54040,159945
39656,42901,41893,35610,55124,54088,160060
