marker_01_x,marker_01_y,marker_01_z,marker_02_x,marker_02_y,marker_02_z,marker_03_x,marker_03_y,marker_03_z,marker_04_x,marker_04_y,marker_04_z,marker_05_x,marker_05_y,marker_05_z,marker_06_x,marker_06_y,marker_06_z,marker_07_x,marker_07_y,marker_07_z,marker_08_x,marker_08_y,marker_08_z
188.348984,311.686859,-336.222565,187.373734,308.094604,-348.841064,190.399415243662,296.069860883228,-317.433743493449,169.996925508259,281.491731070904,-316.92800575172,176.617722,313.299408,-337.390533,170.055984,292.275543,-321.712982,177.349716091364,298.528481592478,-317.623238008531,170.917816,304.713348,-326.362854
188.955307,311.382385,-337.229248,187.933334,307.712891,-349.815033,191.024030067281,295.807270979861,-318.399430764209,170.572334873623,281.310236926435,-317.746304000747,177.225113,313.033905,-338.371155,170.662415,292.028778,-322.556244,177.999628822698,298.310198463577,-318.543880348384,171.589859,304.539429,-327.281036
189.559753,311.060181,-337.997894,188.520737,307.331543,-350.623291,191.907051857238,296.287781906227,-318.8065808603,171.607513667967,281.044537462923,-318.240740184884,177.833115,312.743286,-339.126129,171.30632,291.641205,-323.31604,178.750168,298.026184,-319.35849,172.121231,304.323181,-328.053101
190.261581,310.821381,-338.424011,189.162354,307.062012,-351.203094,192.604105809416,296.064195609896,-319.37881340788,172.396666337176,280.698883163746,-318.785433558162,178.501495,312.480316,-339.630829,172.029861,291.215393,-323.883606,179.413376,297.802673,-319.994751,172.833328,304.116577,-328.612793
190.977997,310.585602,-338.950348,189.874832,306.759827,-351.793243,193.282369087017,295.85903836636,-319.870720818703,173.044588135886,280.530873320097,-319.312169589716,179.211716,312.23175,-340.20752,172.681717,291.034576,-324.451935,180.137604,297.666779,-320.459808,173.524948,303.924408,-329.217133
191.766357,310.388672,-339.47348,190.648315,306.35318,-352.538452,194.104211167702,295.812806397632,-320.505238797359,174.079647596709,280.209836522995,-319.812581386365,179.95694,311.900116,-340.950104,173.614273,290.511353,-325.069427,180.902939,297.435516,-321.222046,174.310547,303.685059,-329.927948
192.559158,309.92746,-340.312683,191.423157,305.82843,-353.319519,194.905802406195,295.579726535672,-321.181722805749,175.014200448619,279.810178660681,-320.412791373947,180.743042,311.426392,-341.756195,174.478531,289.997192,-325.762177,181.662064,297.148804,-321.981354,175.114395,303.337189,-330.682648
193.310593,309.508911,-340.852051,192.169998,305.278748,-353.996368,195.683980787358,295.256439531895,-321.800415981184,175.936605558717,279.309716028018,-320.944237455422,181.469681,310.90271,-342.426331,175.311569,289.380402,-326.372711,182.409683,296.751495,-322.690674,175.873169,302.888977,-331.364014
194.063583,309.046143,-341.279083,192.933289,304.745544,-354.509918,196.459147573645,294.942857412828,-322.207973556965,176.87907329814,278.787413185503,-321.401544473515,182.21582,310.38736,-342.921173,176.189301,288.746704,-326.888214,183.208939,296.388123,-323.140198,176.575043,302.479126,-331.865875
194.882965,308.639374,-341.671387,193.76416,304.265717,-354.982819,197.299604308609,294.600733255861,-322.566369569682,177.783592637452,278.367905223766,-321.754916867337,183.019073,309.930664,-343.364899,177.055634,288.265686,-327.272949,184.073029,296.038239,-323.488953,177.438416,302.035431,-332.316864
195.752029,308.314545,-342.233002,194.667404,303.775421,-355.637543,198.184337106623,294.274176432978,-323.308279167109,178.632286988433,278.09504297574,-322.294896881138,183.896393,309.514862,-344.060059,177.894394,288.001404,-327.874878,184.957901,295.708771,-324.275543,178.250793,301.726318,-332.968506
196.673218,308.005188,-342.946991,195.623108,303.362579,-356.413635,199.108650942132,293.942809206757,-324.104885635291,179.505641830878,277.827803464265,-323.042486723452,184.810547,309.142212,-344.82843,178.765503,287.803986,-328.6521,185.903458,295.419678,-325.052277,179.134827,301.40506,-333.701233
197.667328,307.737915,-343.422882,196.623688,302.933441,-357.103088,200.109558290168,293.656422647744,-324.769955127757,180.546282947731,277.501791740403,-323.575222914614,185.780823,308.813568,-345.393219,179.797241,287.414642,-329.225372,186.878006,295.099609,-325.79245,180.113525,301.043732,-334.380066
198.737564,307.424164,-343.971832,197.687683,302.52359,-357.74115,201.202419063414,293.413319771433,-325.406902496806,181.705607319247,277.188455305357,-324.079898174481,186.835022,308.377136,-346.146942,180.873245,287.07312,-329.765381,187.934311,294.814453,-326.436981,181.144363,300.718658,-334.998169
199.806778,307.166901,-344.46814,198.785217,302.103607,-358.407471,202.266033472408,293.120859972766,-326.018948243133,182.730255807676,276.943192393139,-324.683009836781,187.916962,308.068481,-346.709625,181.931656,286.83255,-330.416382,189.0466,294.579712,-327.050171,182.134933,300.448761,-335.700165
200.891922,306.85614,-345.157654,199.871063,301.659454,-359.159454,203.383409571783,292.984582308586,-326.742228314623,183.978516210102,276.664907072747,-325.229406510344,188.976471,307.626343,-347.618225,183.101273,286.474579,-331.032623,190.109375,294.303986,-327.809204,183.123947,300.21344,-336.492706
201.986221,306.61377,-345.693573,200.963379,301.27536,-359.919403,204.471964069328,292.692869133202,-327.531881369991,185.086223847872,276.360869151034,-325.906445686948,190.072327,307.275024,-348.369232,184.165207,286.150085,-331.720428,191.175995,294.025635,-328.619781,184.082123,299.969879,-337.256653
