taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13549,14630,14040,15315,13533,16372,10242,54281,53260,11702,59225,46881
13562,14640,14031,15278,13523,16390,10248,54252,53283,11704,59189,46860
13546,14561,14062,15307,13531,16334,10236,54262,53140,11696,59185,46838
13548,14605,14033,15230,13536,16340,10259,54161,53205,11707,59138,46858
13547,14586,14054,15290,13537,16322,10225,54223,53193,11715,59131,46855
13546,14601,14045,15251,13531,16299,10272,54210,53178,11731,59068,46922
13532,14625,14067,15317,13524,16370,10262,54321,53225,11739,59205,46941
13557,14618,14040,15299,13526,16338,10257,54244,53227,11712,59157,46891
13516,14578,14062,15308,13525,16331,10291,54267,53160,11732,59084,46969
13549,14570,14053,15296,13529,16320,10263,54263,53149,11725,59105,46947
13542,14601,14068,15307,13543,16350,10241,54290,53188,11704,59179,46883
13532,14567,14086,15331,13529,16348,10262,54373,53132,11725,59153,46984
13540,14582,14093,15300,13528,16350,10271,54328,53179,11725,59142,46984
13517,14622,14088,15303,13515,16404,10233,54334,53220,11746,59191,46941
13537,14661,14086,15344,13541,16347,10298,54385,53283,11746,59241,47034
13527,14605,14087,15337,13545,16390,10285,54363,53196,11724,59271,46981
13540,14617,14108,15315,13543,16381,10294,54381,53241,11739,59214,47029
13546,14590,14076,15301,13544,16382,10284,54347,53211,11750,59198,47005
13547,14596,14088,15325,13534,16368,10272,54348,53220,11737,59180,47008
13540,14577,14099,15306,13535,16353,10297,54331,53238,11732,59164,46992
13540,14607,14075,15331,13532,16372,10268,54312,53239,11718,59193,46955
13532,14602,14081,15311,13541,16380,10269,54336,53219,11738,59208,46965
13533,14615,14056,15306,13522,16395,10289,54270,53216,11731,59181,47001
13547,14604,14098,15323,13540,16349,10251,54344,53202,11764,59187,47011
13522,14630,14079,15347,13537,16401,10279,54378,53244,11749,59234,47016
13551,14629,14090,15301,13533,16380,10257,54340,53274,11743,59228,46997
13527,14659,14091,15308,13538,16355,10288,54314,53280,11778,59221,47022
13544,14589,14049,15341,13542,16361,10232,54316,53177,11784,59223,47008
13550,14626,14103,15325,13548,16387,10254,54355,53249,11784,59255,47046
13547,14673,14049,15326,13548,16346,10238,54315,53273,11757,59225,46982
13598,14649,14062,15332,13567,16373,10265,54366,53396,11836,59356,47099
13543,14651,14026,15304,13542,16375,10238,54262,53315,11787,59226,46996
13552,14665,14067,15319,13541,16420,10207,54350,53298,11807,59296,47021
13536,14614,14048,15260,13544,16339,10253,54260,53211,11847,59176,47041
13587,14612,14067,15303,13535,16388,10193,54293,53265,11809,59294,46974
13529,14642,14033,15267,13546,16348,10230,54190,53258,11801,59184,46963
