marker_01_x,marker_01_y,marker_01_z,marker_02_x,marker_02_y,marker_02_z,marker_03_x,marker_03_y,marker_03_z,marker_04_x,marker_04_y,marker_04_z,marker_05_x,marker_05_y,marker_05_z,marker_06_x,marker_06_y,marker_06_z,marker_07_x,marker_07_y,marker_07_z,marker_08_x,marker_08_y,marker_08_z
88.961342,226.371033,-321.24469,157.036514,56.794521,-357.66394,242.387054,99.118706,-462.22821,71.909187,94.602463,-273.78186,248.00119,167.978867,-482.739838,235.810104,24.953602,-439.447357,80.528152,156.878815,-297.902191,168.037949,199.083557,-399.440796
88.566879,226.683365,-320.749725,157.289566,57.39629,-356.972717,242.389328,99.905724,-461.725677,72.16349,94.948044,-273.053009,247.628387,168.783173,-482.398071,236.081894,25.842665,-438.823639,80.464149,157.234772,-297.285614,167.69249,199.651352,-398.993469
88.168808,226.99176,-320.229523,157.565216,57.971592,-356.430084,242.301102,100.744003,-461.370819,72.445984,95.229736,-272.357697,247.221405,169.614304,-482.102173,236.363647,26.673553,-438.39975,80.418701,157.520172,-296.681061,167.261398,200.240005,-398.627319
87.758224,227.24675,-319.722321,157.705933,58.446045,-355.895355,242.1008,101.40287,-461.000519,72.597069,95.474831,-271.722137,246.761047,170.282837,-481.78772,236.480835,27.36771,-437.928955,80.26899,157.778259,-296.115143,166.832748,200.734482,-398.231354
87.419342,227.442017,-319.246277,157.632736,58.746693,-355.368652,241.854248,101.811043,-460.563385,72.45269,95.671051,-271.198975,246.44133,170.667755,-481.391296,236.361267,27.820108,-437.452057,80.040451,157.993073,-295.608063,166.463501,201.039429,-397.801208
87.104149,227.567184,-318.850494,157.335251,58.895107,-354.874756,241.610825,101.835243,-460.120605,72.202591,95.804924,-270.707733,246.126266,170.664413,-480.977875,236.098953,27.783154,-436.972839,79.800423,158.083435,-295.158173,166.228302,201.103912,-397.416718
86.860947,227.673996,-318.423553,157.009491,58.87949,-354.460083,241.246429,101.840492,-459.692078,71.857224,95.945709,-270.253387,245.841019,170.618637,-480.531128,235.644287,27.787683,-436.538696,79.489525,158.234222,-294.720917,165.938446,201.160782,-396.988495
86.582832,227.848877,-317.989197,156.524185,58.999775,-354.073914,240.781097,101.904747,-459.311157,71.451065,96.119156,-269.883209,245.476837,170.72403,-480.161865,235.169418,27.850746,-436.192657,79.102333,158.412201,-294.306366,165.629623,201.310623,-396.594513
86.30764,228.050095,-317.575043,156.071335,59.166309,-353.818756,240.284317,102.034203,-459.129181,71.126236,96.303818,-269.499298,245.022568,170.870651,-479.929474,234.593567,27.948021,-436.020782,78.837288,158.600555,-293.930328,165.279037,201.483475,-396.278839
86.115891,228.254669,-317.208069,155.658463,59.367893,-353.664612,239.758163,102.224823,-459.073578,70.889008,96.523399,-269.192139,244.47644,171.123383,-479.86676,234.031647,28.162598,-436.023987,78.599907,158.815262,-293.580688,164.93399,201.712006,-396.032776
85.9179,228.538254,-316.812347,155.316772,59.61692,-353.560699,239.221191,102.542152,-459.115021,70.75074,96.76313,-268.855591,243.956741,171.379562,-479.815674,233.52739,28.460144,-436.13266,78.430809,159.06572,-293.224426,164.52655,201.997391,-395.832916
