taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38753,42128,41496,34625,53954,53218,157002
38745,42187,41498,34642,53958,53258,157072
38775,42188,41485,34643,53995,53250,157091
38722,42162,41497,34649,54003,53199,157030
38703,42172,41536,34655,53942,53221,157066
38741,42105,41586,34647,53994,53184,157079
38750,42153,41588,34692,53999,53241,157183
38733,42105,41494,34680,54005,53174,157012
38711,42148,41520,34678,53988,53202,157057
38712,42147,41470,34632,54000,53179,156961
38719,42131,41485,34650,53960,53177,156985
38733,42109,41485,34663,54015,53156,156990
38738,42243,41514,34688,54035,53267,157183
38701,42158,41478,34667,54039,53171,157004
38713,42169,41442,34757,54056,53205,157081
38737,42137,41448,34631,54003,53133,156953
38718,42089,41475,34640,53914,53115,156922
38646,42228,41468,34630,54009,53162,156972
38714,42110,41437,34662,53982,53139,156923
38660,42156,41410,34654,53996,53142,156880
38723,42138,41445,34670,54034,53149,156976
38722,42122,41427,34642,54030,53062,156913
38701,42139,41503,34670,54001,53166,157013
38597,42134,41408,34635,53954,53064,156774
38674,42167,41453,34671,54053,53166,156965
38673,42174,41415,34683,54043,53115,156945
38686,42178,41460,34697,54107,53082,157021
38695,42231,41462,34749,54106,53186,157137
38659,42167,41364,34691,54047,53085,156881
38596,42143,41307,34757,54013,53090,156803
38677,42164,41407,34723,54093,53115,156971
38661,42217,41326,34772,54084,53162,156976
38710,42202,41388,34796,54126,53146,157096
38653,42207,41352,34836,54135,53170,157048
38646,42254,41363,34788,54121,53149,157051
38648,42234,41367,34728,54092,53151,156977
38704,42139,41404,34753,54056,53112,157000
38691,42175,41434,34809,54147,53157,157109
38656,42247,41438,34802,54196,53117,157143
38661,42192,41362,34757,54090,53137,156972
38648,42208,41378,34779,54078,53160,157013
38634,42130,41354,34827,54046,53118,156945
38657,42230,41337,34832,54139,53136,157056
38677,42120,41292,34789,54046,53077,156878
38619,42208,41350,34867,54127,53106,157044
38615,42222,41211,34923,54157,53123,156971
38605,42102,41194,34891,54012,53090,156792
38620,42127,41162,34897,53980,53128,156806
38644,42159,41255,34977,54064,53207,157035
38588,42140,41187,35081,54014,53228,156996
38572,42214,41191,35038,54092,53247,157015
38534,42132,41165,35052,54053,53214,156883
38584,42158,41180,35040,54060,53215,156962
38542,42187,41200,35089,54091,53228,157018
38573,42176,41205,35057,54034,53240,157011
38564,42142,41165,35095,54055,53191,156966
38597,42210,41223,35155,54103,53309,157185
38556,42206,41192,35153,54079,53267,157107
38623,42214,41205,35118,54081,53278,157160
38525,42152,41164,35107,54030,53265,156948
38541,42201,41214,35092,54050,53249,157048
38479,42193,41118,35102,54055,53210,156892
38517,42198,41203,35137,54058,53224,157055
38554,42145,41212,35146,54039,53250,157057
38529,42144,41147,35124,54040,53204,156944
38534,42149,41167,35150,54045,53255,157000
38546,42175,41206,35173,54071,53310,157100
38553,42153,41142,35150,54060,53234,156998
38530,42228,41206,35184,54185,53250,157148
38518,42240,41242,35182,54083,53300,157182
38549,42201,41148,35193,54083,53247,157091
38543,42183,41204,35118,54047,53234,157048
38552,42225,41192,35123,54135,53261,157092
38519,42201,41134,35142,54069,53257,156996
38557,42240,41189,35116,54127,53254,157102
38480,42161,41178,35153,54020,53250,156972
38532,42173,41181,35136,54086,53237,157022
38503,42204,41122,35094,54014,53235,156923
38521,42206,41226,35176,54142,53289,157129
38538,42187,41207,35113,54062,53253,157045
38536,42178,41178,35111,54061,53253,157003
38490,42218,41215,35117,54054,53277,157040
38513,42145,41152,35067,53974,53214,156877
38471,42282,41180,35046,54026,53275,156979
38573,42192,41220,35063,54068,53261,157048
38590,42209,41228,35060,54073,53284,157087
38608,42203,41221,35033,54091,53227,157065
38567,42193,41154,35062,54077,53226,156976
38624,42183,41202,34961,54069,53166,156970
38605,42199,41227,34881,54066,53146,156912
38571,42241,41272,34813,54105,53112,156897
38651,42207,41406,34808,54127,53160,157072
38663,42212,41378,34834,54125,53143,157087
38659,42214,41348,34788,54087,53190,157009
38626,42214,41368,34741,54037,53159,156949
38624,42186,41384,34731,54029,53066,156925
38647,42147,41388,34703,54040,53071,156885
38691,42119,41425,34718,54046,53124,156953
38686,42140,41445,34722,54082,53132,156993
38667,42175,41401,34704,54018,53125,156947
38641,42179,41415,34637,54025,53081,156872
38669,42120,41469,34667,54013,53111,156925
38647,42226,41449,34721,54081,53154,157043
38661,42227,41451,34730,54096,53160,157069
38700,42164,41508,34710,54077,53149,157082
38671,42128,41481,34679,54026,53117,156959
38684,42163,41444,34725,54030,53129,157016
38589,42125,41482,34709,53984,53143,156905
38654,42219,41522,34726,54124,53120,157121
38644,42215,41429,34754,54096,53139,157042
38685,42235,41534,34685,54108,53157,157139
38713,42191,41481,34724,54095,53140,157109
38692,42238,41476,34678,54105,53151,157084
38640,42162,41427,34660,54038,53088,156889
38652,42174,41470,34695,54029,53150,156991
38611,42188,41432,34755,54088,53134,156986
38662,42141,41475,34715,54021,53132,156993
38607,42220,41422,34715,54093,53103,156964
38592,42222,41396,34724,54059,53116,156934
38619,42189,41454,34803,54111,53195,157065
38676,42161,41456,34674,54076,53096,156967
38645,42251,41496,34711,54132,53132,157103
