taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13419,14375,13799,15081,13367,16286,9811,53501,52456,11677,58727,45939
13429,14428,13787,15073,13356,16286,9811,53451,52545,11687,58732,45926
13439,14421,13794,15091,13374,16295,9799,53505,52523,11661,58769,45933
13423,14390,13784,15098,13356,16299,9834,53479,52521,11669,58715,45985
13405,14414,13785,15065,13354,16312,9798,53469,52499,11668,58706,45910
13412,14366,13792,15061,13355,16379,9802,53507,52443,11671,58770,45910
13423,14394,13802,15069,13361,16338,9822,53559,52508,11684,58732,45965
13427,14382,13783,15042,13358,16320,9871,53431,52532,11651,58730,45957
13414,14391,13786,15082,13372,16320,9828,53524,52495,11653,58760,45899
13431,14388,13779,15087,13356,16296,9817,53472,52495,11656,58715,45901
13430,14394,13774,15051,13355,16303,9826,53428,52512,11654,58726,45871
13436,14375,13790,15058,13353,16324,9834,53474,52485,11638,58737,45888
13414,14442,13789,15120,13379,16312,9837,53562,52552,11657,58761,45938
13415,14389,13791,15093,13358,16324,9865,53518,52506,11633,58733,45947
13408,14392,13802,15102,13379,16302,9872,53574,52499,11632,58746,45944
13419,14380,13789,15094,13342,16323,9816,53530,52446,11622,58738,45880
13412,14361,13777,15036,13356,16313,9807,53444,52438,11621,58694,45798
13395,14412,13778,15121,13343,16311,9833,53503,52475,11629,58731,45895
13399,14368,13803,15063,13345,16318,9852,53481,52446,11623,58700,45882
13391,14407,13791,15089,13355,16310,9835,53479,52444,11589,58732,45794
13416,14379,13812,15083,13363,16325,9842,53532,52476,11595,58729,45895
13430,14374,13790,15066,13331,16331,9842,53457,52471,11567,58705,45844
13396,14404,13801,15050,13354,16357,9836,53534,52434,11607,58748,45883
13394,14393,13770,15048,13322,16311,9846,53428,52438,11579,58635,45805
13416,14399,13801,15092,13360,16321,9837,53546,52473,11606,58724,45885
13410,14408,13786,15085,13354,16342,9859,53492,52512,11567,58735,45889
13421,14390,13771,15114,13348,16382,9864,53516,52536,11573,58813,45878
13411,14438,13801,15121,13368,16334,9884,53588,52593,11579,58794,45889
13402,14374,13792,15105,13350,16294,9861,53527,52430,11569,58724,45861
