marker_01_x,marker_01_y,marker_01_z,marker_02_x,marker_02_y,marker_02_z,marker_03_x,marker_03_y,marker_03_z,marker_04_x,marker_04_y,marker_04_z,marker_05_x,marker_05_y,marker_05_z,marker_06_x,marker_06_y,marker_06_z,marker_07_x,marker_07_y,marker_07_z,marker_08_x,marker_08_y,marker_08_z
115.796303,179.91423,-221.844009,109.700302,186.77507,-286.97937,108.005203,194.847214,-271.107056,144.495377,167.784439,-298.635651,107.048981,181.336029,-248.856018,132.372528,184.188477,-291.449951,132.724197,194.524628,-250.003052,122.016167,201.896896,-273.746582
115.582054,180.044403,-222.539948,109.462479,186.696274,-287.488647,107.724915,194.837082,-271.667694,144.235825,167.867889,-299.227448,106.828163,181.378479,-249.487411,132.104965,184.24617,-292.041412,132.476486,194.581253,-250.579666,121.70253,201.932663,-274.29303
115.358864,180.377823,-223.451309,109.196251,186.992996,-288.44458,107.457947,195.06572,-272.522888,144.009949,168.057434,-300.062744,106.574173,181.679245,-250.41748,131.86554,184.480896,-292.897583,132.227524,194.766266,-251.452194,121.471947,202.162369,-275.231171
115.140236,180.699936,-224.529068,109.022682,187.33226,-289.50116,107.322578,195.413345,-273.621796,143.820435,168.334,-301.114288,106.335945,182.129013,-251.555969,131.675369,184.769974,-293.950073,132.031738,195.118652,-252.541855,121.267296,202.500687,-276.279236
114.800491,181.225769,-225.817017,108.855438,187.70575,-290.708435,107.135796,195.7966,-274.805725,143.652054,168.807861,-302.31842,106.040962,182.633514,-252.847534,131.506775,185.22583,-295.154846,131.776016,195.514908,-253.696808,121.085297,202.877274,-277.472961
114.45076,181.559677,-227.17308,108.682465,188.181274,-292.06366,106.888184,196.258774,-276.154602,143.495331,169.374573,-303.627228,105.729515,183.175552,-254.282227,131.30278,185.821396,-296.477386,131.480576,195.941315,-254.990265,120.860199,203.362686,-278.774597
114.009506,182.020416,-228.865845,108.543793,188.838593,-293.687775,106.659454,196.896774,-277.80954,143.465378,170.0952,-305.170898,105.451828,183.572159,-255.946472,131.173737,186.483017,-298.006653,131.195755,196.465958,-256.481567,120.598892,203.971375,-280.288452
113.60968,182.71373,-230.737427,108.468483,189.545135,-295.48175,106.436958,197.614532,-279.679993,143.467697,170.89592,-306.835968,105.212799,184.199677,-257.761932,131.122055,187.296982,-299.714691,130.932159,197.063797,-258.127747,120.496819,204.609024,-281.970642
113.352066,183.274017,-232.473602,108.406372,190.285431,-297.305298,106.280113,198.397141,-281.58551,143.456314,171.627747,-308.546387,105.021545,184.88942,-259.586639,131.053818,188.044296,-301.462952,130.741455,197.774643,-259.873627,120.312431,205.369934,-283.725067
113.018074,184.273239,-234.510117,108.35228,191.083771,-299.230682,106.103157,199.304688,-283.620483,143.404724,172.472824,-310.40094,104.815643,185.700638,-261.544098,130.987137,188.887589,-303.321198,130.57933,198.546753,-261.718231,120.224068,206.139069,-285.606567
112.732063,185.084457,-236.564865,108.28952,192.017059,-301.30954,105.960258,200.265152,-285.772186,143.391907,173.362122,-312.375092,104.634712,186.480988,-263.592987,130.913986,189.82933,-305.336517,130.408615,199.323166,-263.675201,120.258133,206.947556,-287.560089
112.569344,185.865631,-238.66983,108.276138,192.939743,-303.423859,105.825027,201.301208,-287.99588,143.37114,174.31366,-314.436523,104.500526,187.466736,-265.799011,130.887955,190.811264,-307.426056,130.280777,200.251328,-265.762573,120.232918,207.867493,-289.640839
112.358696,186.647888,-240.689209,108.212868,193.884354,-305.661774,105.70858,202.213272,-290.267944,143.342773,175.197952,-316.529816,104.398247,188.184006,-267.858002,130.83783,191.768402,-309.578949,130.152985,201.18927,-267.919098,120.180107,208.726395,-291.837036
112.140068,187.576279,-242.943726,108.166908,194.824448,-307.996399,105.62294,203.126175,-292.693298,143.327515,176.086288,-318.771179,104.300064,188.992615,-270.112854,130.805313,192.625992,-311.848206,130.068878,202.136627,-270.164398,120.104797,209.65921,-294.151215
111.913155,188.369019,-245.327942,108.19767,195.724594,-310.483551,105.548584,204.107391,-295.220032,143.378769,177.076202,-321.154816,104.162064,189.869156,-272.574097,130.827728,193.577759,-314.271667,129.953186,203.105682,-272.529877,120.071358,210.587601,-296.595032
111.734367,189.241516,-247.830231,108.253014,196.705811,-313.067291,105.478683,205.157867,-297.896484,143.464417,178.097244,-323.62851,104.068306,190.736038,-275.121399,130.890671,194.619644,-316.77771,129.856003,204.078781,-275.028778,120.055771,211.563461,-299.135712
111.486412,190.304031,-250.569534,108.317352,197.712769,-315.789551,105.467926,206.211441,-300.678772,143.562912,179.079636,-326.191406,104.018112,191.592209,-277.786285,130.976532,195.61171,-319.397919,129.782333,205.0793,-277.657501,120.11779,212.529053,-301.791382
111.37117,191.16127,-253.277588,108.401871,198.664063,-318.649933,105.474182,207.223404,-303.604492,143.652832,180.036301,-328.887054,103.939957,192.503677,-280.568787,131.046814,196.585648,-322.16745,129.719177,206.09079,-280.424255,120.148727,213.502274,-304.634857
