marker_01_x,marker_01_y,marker_01_z,marker_02_x,marker_02_y,marker_02_z,marker_03_x,marker_03_y,marker_03_z,marker_04_x,marker_04_y,marker_04_z,marker_05_x,marker_05_y,marker_05_z,marker_06_x,marker_06_y,marker_06_z,marker_07_x,marker_07_y,marker_07_z,marker_08_x,marker_08_y,marker_08_z
51.429253,270.907867,-367.57666,239.067150939418,160.005707224502,-393.812242135182,40.230049,224.619019,-173.983749,173.69873,203.949081,-393.687225,44.38166,201.172333,-110.1092,114.650284,237.475494,-385.13031,41.533764,240.665665,-232.249069,41.76889,258.558502,-297.684692
52.212341,271.964294,-367.133636,239.95316534568,161.224719468483,-393.426239485703,40.569645,224.76445,-173.795273,174.55864,205.140457,-393.240143,44.599651,201.022736,-110.014015,115.492081,238.611801,-384.6651,41.998085,241.07991,-231.980911,42.398121,259.280182,-297.338959
53.044136,273.049103,-366.691376,240.81706247049,162.353981221178,-393.08177079213,41.035633,224.996918,-173.578735,175.457993,206.275208,-392.807587,44.839245,201.01593,-109.900703,116.3787,239.785538,-384.256989,42.587143,241.584518,-231.685867,43.100994,260.087463,-296.98114
53.998871,273.995728,-366.448853,241.825531010814,163.297805368102,-392.654258649288,41.443554,225.336777,-173.527832,176.469009,207.239502,-392.413086,45.094681,201.120728,-109.906128,117.39225,240.721695,-383.925537,43.15686,242.077103,-231.582932,43.85553,260.784485,-296.786285
54.798019,274.780609,-366.245911,242.641057327813,163.994792743104,-392.297041283449,41.894524,225.747208,-173.424774,177.275131,207.940689,-392.099335,45.431046,201.419098,-109.824951,118.307358,241.505966,-383.671722,43.709335,242.618423,-231.445358,44.538971,261.445038,-296.619049
55.335651,275.544617,-365.960327,242.999734022775,164.571140319757,-392.15060460968,42.340546,226.272095,-173.189148,177.75882,208.596451,-391.849243,45.780327,201.863754,-109.657936,118.652443,242.224564,-383.419434,44.184189,243.188843,-231.190125,45.05722,262.077789,-296.337036
55.537994,276.145905,-365.623596,243.217911309319,165.143699820684,-392.039518334616,42.708992,226.728302,-172.913666,177.981583,209.167114,-391.660492,46.211792,202.25679,-109.377197,118.90937,242.835739,-383.16687,44.403534,243.735901,-231.066986,45.311077,262.707703,-296.033325
55.820087,276.627533,-365.439453,243.437079275002,165.59337545809,-391.889137195324,42.89098,227.110733,-172.749207,178.184784,209.622253,-391.507019,46.428215,202.579605,-109.247559,119.169121,243.311508,-383.004059,44.690414,244.130005,-230.757217,45.575779,263.075104,-295.879761
56.095699,276.927582,-365.424896,243.714989609607,165.836460390836,-391.743658305544,43.023182,227.338303,-172.74939,178.499054,209.866394,-391.375824,46.4963,202.83197,-109.239868,119.421967,243.578186,-382.916046,44.882877,244.365433,-230.747452,45.83263,263.33725,-295.84613
56.296032,277.098755,-365.36676,243.881365960404,165.974710746865,-391.615200498791,43.103439,227.542862,-172.730621,178.666321,210.025772,-391.287781,46.516937,203.017105,-109.199814,119.629303,243.772842,-382.867981,44.988613,244.582275,-230.715561,45.974209,263.532623,-295.815521
56.32357,277.248596,-365.301208,243.997534181458,166.219408292171,-391.565803328655,43.170418,227.578033,-172.64502,178.728317,210.178833,-391.219238,46.544983,203.056686,-109.170135,119.668907,243.895752,-382.806366,45.048145,244.638901,-230.629135,46.032574,263.597961,-295.733429
56.353252,277.252899,-365.271393,244.047974,166.40889,-391.521057,43.15987,227.56218,-172.654266,178.786072,210.220688,-391.181824,46.542747,203.011383,-109.159103,119.706459,243.930801,-382.756226,45.06139,244.633423,-230.611496,46.040398,263.632507,-295.73526
56.383621,277.172791,-365.228577,244.117981,166.333664,-391.4505,43.154713,227.47551,-172.614868,178.842941,210.153809,-391.118378,46.517994,202.913864,-109.123642,119.750267,243.862488,-382.710297,45.055847,244.558563,-230.602844,46.050201,263.521423,-295.690979
56.226295,277.003021,-365.104645,244.027054,166.293976,-391.413025,43.082668,227.270584,-172.478546,178.724884,210.06369,-391.032135,46.548809,202.711685,-109.000679,119.629036,243.728745,-382.60202,44.938786,244.344101,-230.459015,45.948025,263.319,-295.564331
55.930477,276.699158,-364.91568,243.904922,166.282883,-391.387115,42.989521,226.987701,-172.279465,178.432312,209.903824,-390.951385,46.506565,202.452652,-108.81662,119.342278,243.541702,-382.474976,44.767601,244.068375,-230.280319,45.678135,263.031464,-295.381836
55.532707,276.281219,-364.815491,243.653809,166.153183,-391.338806,42.873989,226.671921,-172.117935,178.16687,209.655624,-390.889191,46.507298,202.167496,-108.617477,119.010368,243.181335,-382.41391,44.595387,243.695847,-230.120346,45.405655,262.616852,-295.234314
55.383053,275.832275,-364.794037,243.537689,165.928711,-391.239563,42.766151,226.346008,-172.044983,178.072968,209.360229,-390.802734,46.462025,201.90834,-108.528313,118.88636,242.81131,-382.364258,44.427063,243.341904,-230.101807,45.211536,262.181854,-295.211761
55.31707,275.431488,-364.774567,243.740051,165.783401,-391.068787,42.663944,226.056564,-171.99176,178.09227,209.096893,-390.680176,46.392185,201.655258,-108.441231,118.879326,242.482651,-382.283783,44.305351,243.026596,-230.083694,45.158638,261.808746,-295.19986
55.238171,275.114166,-364.663513,243.653503,165.520065,-390.897125,42.638298,225.806229,-171.84787,178.076477,208.795532,-390.522583,46.293777,201.465836,-108.304794,118.820374,242.187729,-382.168671,44.265553,242.747772,-229.952148,45.095203,261.492706,-295.070557
55.111061,274.83844,-364.427277,243.455948,165.19725,-390.755493,42.618793,225.628128,-171.581848,177.861694,208.47403,-390.356567,46.345604,201.303467,-108.022209,118.640579,241.903763,-381.968048,44.185429,242.55394,-229.705917,44.984009,261.250122,-294.835297
54.889481,274.526215,-364.199951,243.306482289305,164.866541063893,-390.663769523718,42.587055,225.403885,-171.323944,177.66095,208.096375,-390.203369,46.419109,201.113693,-107.735207,118.456398,241.556503,-381.784271,44.103962,242.295258,-229.478043,44.844715,260.943878,-294.594208
54.739815,273.98407,-364.171814,243.232707453603,164.449880541426,-390.47195552107,42.481956,225.071182,-171.196274,177.579651,207.636826,-390.043884,46.260742,200.857025,-107.616119,118.312012,241.079666,-381.689392,43.969257,241.90567,-229.365341,44.722019,260.478119,-294.527191
54.604496,273.319336,-364.202515,243.190812951906,163.940772547638,-390.293360136004,42.32098,224.725952,-171.149597,177.485229,207.05127,-389.961395,46.157848,200.612411,-107.513123,118.16568,240.433792,-381.657013,43.849064,241.433838,-229.319611,44.536812,259.897919,-294.556091
54.413361,272.56369,-364.276642,243.033356,163.271423,-390.168823,42.192429,224.375595,-171.120331,177.297394,206.288559,-389.910431,46.097157,200.417984,-107.416504,117.948631,239.669189,-381.665283,43.703434,240.957001,-229.307755,44.349667,259.272797,-294.593628
54.133514,271.757935,-364.393524,242.657461550607,162.475395012445,-390.056417151808,42.054962,223.966461,-171.089218,177.10907,205.478302,-389.888275,45.932842,200.199951,-107.349274,117.698349,238.820297,-381.670563,43.537079,240.415207,-229.290115,44.133453,258.599152,-294.659882
53.885159,270.872681,-364.462891,242.50481188224,161.774712123922,-389.951720876301,41.888248,223.550903,-171.074921,176.89505,204.700104,-389.86322,45.841228,199.88739,-107.264633,117.452805,237.995377,-381.708771,43.335732,239.85527,-229.296616,43.917816,257.839905,-294.706482
