taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38787,42144,41802,34631,53991,53372,157364
38777,42129,41828,34584,53950,53411,157318
38804,42173,41806,34625,54030,53366,157408
38800,42183,41886,34598,54005,53447,157467
38720,42244,41771,34628,54028,53388,157363
38795,42196,41851,34624,54060,53392,157466
38764,42178,41855,34586,53994,53380,157383
38767,42200,41973,34652,54063,53496,157592
38806,42112,41820,34614,53998,53386,157352
38761,42256,41905,34593,54054,53445,157515
38795,42217,41959,34598,54059,53456,157569
38832,42296,41912,34665,54161,53429,157705
38776,42202,41872,34600,54049,53420,157450
38803,42193,41958,34676,54148,53423,157630
38827,42171,41858,34565,54051,53373,157421
38786,42172,41855,34653,54035,53419,157466
38820,42169,41871,34596,54043,53391,157456
38810,42257,41940,34610,54086,53460,157617
38822,42149,41894,34592,53997,53421,157457
38857,42265,41913,34636,54127,53426,157671
38793,42151,41813,34542,53952,53379,157299
38809,42144,41857,34624,54052,53360,157434
38804,42213,41889,34599,54087,53375,157505
38854,42215,41894,34595,54051,53455,157558
38798,42174,41864,34615,54031,53371,157451
38778,42215,41894,34624,54087,53388,157511
38775,42148,41800,34601,54019,53317,157324
38773,42253,41846,34630,54071,53366,157502
38804,42213,41887,34588,54079,53337,157492
38800,42178,41919,34642,54092,53406,157539
38832,42207,41943,34609,54134,53402,157591
38775,42250,41907,34631,54175,53386,157563
38752,42208,41842,34577,54060,53311,157379
38835,42270,41839,34616,54101,53420,157560
38727,42176,41764,34620,54016,53338,157287
38773,42184,41918,34586,54081,53391,157461
38792,42166,41851,34563,54013,53363,157372
38753,42174,41880,34640,54128,53358,157447
38714,42200,41935,34625,54054,53403,157474
38714,42204,41851,34577,54034,53331,157346
38690,42232,41819,34544,54011,53346,157285
38764,42230,41857,34595,54122,53326,157446
38696,42155,41840,34569,54012,53283,157260
38742,42272,41801,34599,54086,53357,157414
38673,42239,41838,34632,54119,53343,157382
38694,42258,41863,34566,54070,53333,157381
38764,42180,41868,34623,54051,53365,157435
38661,42236,41837,34612,54056,53348,157346
