marker_01_x,marker_01_y,marker_01_z,marker_02_x,marker_02_y,marker_02_z,marker_03_x,marker_03_y,marker_03_z,marker_04_x,marker_04_y,marker_04_z,marker_05_x,marker_05_y,marker_05_z,marker_06_x,marker_06_y,marker_06_z,marker_07_x,marker_07_y,marker_07_z,marker_08_x,marker_08_y,marker_08_z
166.089691,139.72377,-296.332214,160.132858,155.534851,-358.265533,155.690857,165.375702,-342.587128,193.142029,144.895187,-374.812408,156.453293,146.047226,-322.711456,180.37471,159.34169,-364.651672,181.400208,161.613693,-321.912567,169.784637,172.631607,-343.822449
165.52655,139.93573,-297.237396,159.564148,156.017883,-359.259155,155.195953,165.61293,-343.523865,192.685486,145.277374,-375.70752,155.877472,146.346558,-323.654327,179.899094,159.640533,-365.541718,180.820831,161.934967,-322.853058,169.092514,173.219543,-344.639923
164.877533,140.366196,-298.547638,159.060608,156.582703,-360.642242,154.766739,165.980927,-344.720642,192.298691,145.810715,-376.983337,155.343323,146.716827,-324.97345,179.462463,160.14325,-366.798279,180.260696,162.397964,-324.08548,168.632248,173.497787,-346.020752
164.21756,140.853989,-300.030762,158.437347,157.244904,-362.219971,154.20253,166.416748,-346.182312,191.813919,146.301498,-378.389587,154.711639,147.216187,-326.485016,178.914703,160.685883,-368.290955,179.643005,162.880768,-325.538269,168.117676,173.906555,-347.567719
163.556488,141.250366,-301.50943,157.744171,157.784454,-363.778198,153.601471,166.822311,-347.607056,191.217957,146.805511,-379.862885,154.089661,147.565231,-327.96051,178.291168,161.183701,-369.799103,178.932281,163.42424,-327.052917,167.351669,174.777145,-348.78241
162.793289,141.790375,-303.214233,156.958466,158.637756,-365.640442,152.975113,167.295334,-349.231415,190.583771,147.482269,-381.537048,153.477615,147.586334,-329.405304,177.625183,161.841507,-371.502563,178.188477,164.00563,-328.741699,166.599426,175.400482,-350.550201
161.978989,142.566071,-305.115204,156.190018,159.541962,-367.554626,152.313629,168.028824,-351.039795,189.934311,148.276566,-383.365906,152.697693,148.518311,-331.395294,176.968613,162.648911,-373.345001,177.430328,164.790741,-330.579132,165.943542,175.832504,-352.666199
161.105392,143.531311,-306.988251,155.295761,160.675034,-369.486084,151.585617,168.89035,-352.794678,189.200378,149.205917,-385.153992,151.781143,149.990189,-333.537048,176.23764,163.721436,-375.197815,176.599747,165.670273,-332.383942,165.211411,176.679123,-354.461945
160.277252,144.323578,-308.545929,154.28981,161.760208,-371.153381,150.714462,169.726837,-354.297272,188.296417,150.184616,-386.746613,150.803986,151.296494,-335.363068,175.285461,164.756409,-376.835846,175.667114,166.588181,-333.979584,164.334961,177.500351,-356.05722
159.240128,145.160431,-309.88501,153.040802,162.866348,-372.570099,149.64888,170.595047,-355.560577,187.203796,151.208389,-388.152557,149.697937,152.501938,-336.885376,174.199112,165.852417,-378.270477,174.604446,167.499649,-335.347321,163.16658,178.387268,-357.413269
