marker_01_x,marker_01_y,marker_01_z,marker_02_x,marker_02_y,marker_02_z,marker_03_x,marker_03_y,marker_03_z,marker_04_x,marker_04_y,marker_04_z,marker_05_x,marker_05_y,marker_05_z,marker_06_x,marker_06_y,marker_06_z,marker_07_x,marker_07_y,marker_07_z,marker_08_x,marker_08_y,marker_08_z
37.530151,234.821777,-455.442749,229.26970605341,132.138967630709,-486.375112600716,27.155069,177.202576,-264.666321,161.906372,173.279755,-484.426941,31.188635,150.628922,-202.31163,101.729462,204.426636,-474.454803,28.200476,196.730606,-321.86261,28.179941,217.952957,-386.432678
37.282242,234.613281,-455.558685,229.179884182693,132.151409422961,-486.292953480327,26.713415,176.85376,-264.830566,161.772018,173.213821,-484.388794,30.682531,150.26532,-202.489365,101.540154,204.299561,-474.501007,27.825026,196.404205,-322.037567,27.864901,217.707504,-386.567932
37.183804,234.242432,-455.779877,229.254397913899,131.97972972954,-486.073010781488,26.265991,176.545135,-265.060242,161.827835,172.951447,-484.338806,30.097916,149.969681,-202.700241,101.506943,204.034668,-474.590515,27.47011,196.082336,-322.257904,27.62915,217.352966,-386.806885
37.193981,233.795029,-456.057953,229.395063580957,131.595500133796,-485.915106028838,25.979383,176.263443,-265.294891,161.909698,172.547455,-484.334259,29.782204,149.726974,-202.902786,101.602547,203.527557,-474.738098,27.279926,195.731384,-322.525146,27.5529,216.911774,-387.091675
37.162792,233.230942,-456.344055,229.416706157308,131.062339139998,-485.865167163213,25.838432,176.017868,-265.483673,161.92952,171.962845,-484.401245,29.57712,149.654022,-203.010483,101.561539,202.987061,-474.8927,27.168764,195.410126,-322.742249,27.47312,216.49968,-387.339081
37.144642,232.676132,-456.59787,229.383574563828,130.438568473394,-485.859653356058,25.728239,175.849182,-265.627777,161.89444,171.380264,-484.498291,29.46332,149.54686,-203.114975,101.547844,202.39447,-475.071625,27.084797,195.117462,-322.911713,27.436224,216.07576,-387.564697
37.291332,232.061371,-456.907623,229.611535117425,129.871801203447,-485.732268873893,25.658829,175.545563,-265.848297,162.072403,170.753235,-484.513306,29.346643,149.361008,-203.243362,101.72718,201.772919,-475.240082,27.067078,194.71167,-323.163147,27.473597,215.560898,-387.844604
37.597462,231.466995,-457.234955,230.099233652085,129.469627268631,-485.455428814181,25.567425,175.166718,-266.10199,162.528198,170.26889,-484.447388,29.096973,149.071091,-203.501099,102.088326,201.244934,-475.369354,27.085556,194.256775,-323.445221,27.613474,215.029587,-388.154602
37.816956,230.848541,-457.462738,230.4796335718,129.212474543098,-485.201361257009,25.465471,174.753296,-266.272705,162.844238,169.844971,-484.361389,28.890697,148.769012,-203.624649,102.362297,200.731857,-475.430847,27.080296,193.784225,-323.631195,27.696682,214.479309,-388.377899
37.696121,230.417831,-457.473633,230.562546,129.035583,-485.029236,25.390682,174.381363,-266.249451,162.863342,169.578903,-484.302612,28.939037,148.381226,-203.568863,102.353966,200.360168,-475.401367,27.042387,193.362457,-323.591827,27.618034,214.040146,-388.375946
37.579086,230.093109,-457.359222,230.625275,128.984436,-484.937164,25.367184,174.06427,-266.129974,162.76416,169.384705,-484.218201,28.933867,148.095245,-203.435532,102.24337,200.125198,-475.323822,26.899172,193.060989,-323.509979,27.475475,213.723282,-388.252869
37.515354,229.856354,-457.312317,230.652817,128.985046,-484.82309,25.292797,173.758972,-266.110748,162.797211,169.315918,-484.098999,28.84425,147.776352,-203.422348,102.261436,199.966064,-475.240326,26.835396,192.773926,-323.497101,27.408583,213.449234,-388.207245
37.685795,229.674088,-457.366608,230.9711,129.032837,-484.630066,25.220079,173.480743,-266.191376,163.122513,169.31723,-483.965851,28.680443,147.502289,-203.542465,102.397346,199.903717,-475.214264,26.819719,192.52037,-323.580017,27.478083,213.223206,-388.2854
38.003563,229.557861,-457.524475,231.41774,129.096268,-484.388153,25.22385,173.272003,-266.375,163.579941,169.354187,-483.876068,28.585432,147.267807,-203.71257,102.917053,199.831238,-475.254395,26.912851,192.329163,-323.773499,27.639938,213.061081,-388.460083
38.506298,229.491455,-457.726593,232.064606,129.096619,-484.179443,25.283142,173.127762,-266.609924,164.060501,169.301376,-483.833466,28.560831,147.116776,-203.944016,103.400551,199.788437,-475.320496,27.09104,192.207565,-324.00946,28.040363,212.907654,-388.662933
38.95871,229.413376,-457.979492,232.448608,128.802887,-484.012634,25.381296,173.091873,-266.874664,164.55368,169.167984,-483.821136,28.52313,147.086853,-204.17189,103.914581,199.689377,-475.438446,27.290686,192.175613,-324.276306,28.348698,212.872131,-388.935059
39.353622,229.307526,-458.236572,232.98735,128.90242,-484.024719,25.464369,173.091156,-267.105652,164.924896,168.930878,-483.847473,28.512358,147.089584,-204.381149,104.353722,199.512711,-475.570313,27.45892,192.115768,-324.5242,28.64146,212.790955,-389.17691
39.686573,229.21048,-458.441864,233.296936,128.725037,-484.078278,25.635956,173.033936,-267.311066,165.207932,168.82251,-483.994507,28.631701,147.051331,-204.589172,104.617233,199.437485,-475.755188,27.640148,192.071304,-324.752472,28.871401,212.716919,-389.402649
40.022831,229.156845,-458.708313,233.593018,128.610123,-484.225128,25.840565,172.995682,-267.565735,165.583023,168.669327,-484.149261,28.782217,147.022125,-204.84523,105.026817,199.314468,-475.970551,27.918947,192.012772,-325.024445,29.19261,212.654938,-389.658478
