taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
39384,42793,41645,35520,54912,53876,159342
39345,42725,41687,35482,54864,53833,159239
39338,42736,41646,35546,54863,53813,159266
39344,42719,41658,35505,54819,53822,159226
39368,42710,41692,35494,54859,53827,159264
39411,42691,41699,35486,54817,53771,159287
39432,42788,41793,35514,54951,53861,159527
39408,42770,41764,35484,54838,53870,159426
39472,42745,41822,35489,54866,53877,159528
39454,42754,41771,35448,54841,53818,159427
39502,42751,41822,35446,54830,53884,159521
39456,42689,41855,35450,54795,53865,159450
39537,42792,41896,35478,54924,53925,159703
39482,42765,41871,35434,54801,53932,159552
39525,42815,41907,35535,54930,53963,159782
39513,42719,41922,35428,54804,53928,159582
39552,42735,41892,35446,54820,53932,159625
39562,42735,41913,35474,54849,53955,159684
39625,42798,41911,35501,54941,53981,159835
39624,42799,41928,35497,54930,53993,159848
39621,42820,41940,35480,54925,54002,159861
39560,42847,41874,35472,54900,53949,159753
39629,42788,41847,35490,54899,53992,159754
39628,42814,41830,35495,54879,54030,159767
39677,42770,41828,35490,54857,54033,159765
39672,42807,41889,35535,54963,54020,159903
39633,42833,41840,35533,54909,54022,159839
39662,42820,41815,35460,54865,53991,159757
39657,42878,41863,35470,54939,53989,159868
39704,42783,41818,35453,54930,53920,159758
39642,42826,41786,35503,54920,54012,159757
39616,42774,41785,35491,54846,54007,159666
39736,42837,41877,35475,54946,54026,159925
39679,42828,41856,35463,54907,54016,159826
39744,42839,41842,35512,54971,54005,159937
39723,42818,41822,35504,54873,54014,159867
39641,42874,41817,35479,54900,54013,159811
39702,42821,41824,35475,54854,54059,159822
39715,42847,41871,35513,54956,54096,159946
39690,42832,41790,35425,54838,53978,159737
39757,42838,41910,35569,55022,54076,160074
39695,42828,41873,35484,54916,53981,159880
39693,42836,41896,35487,54966,54024,159912
39710,42784,41844,35497,54875,53983,159835
39752,42910,41865,35503,54981,54058,160030
39583,42821,41768,35479,54875,53933,159651
39664,42787,41794,35470,54926,53936,159715
39665,42769,41765,35463,54856,53964,159662
39675,42823,41777,35532,54923,54015,159807
39599,42857,41748,35516,55004,53969,159720
39588,42775,41728,35508,54920,53932,159599
39626,42778,41695,35459,54879,53937,159558
39599,42735,41687,35459,54836,53933,159480
39575,42852,41703,35495,54936,53967,159625
39585,42818,41685,35535,54973,53964,159623
39530,42725,41703,35545,54893,53921,159503
39583,42817,41699,35528,55001,53932,159627
39567,42725,41693,35503,54933,53855,159488
39451,42766,41737,35474,54917,53839,159428
39447,42660,41685,35421,54741,53818,159213
39474,42774,41663,35448,54845,53891,159359
39423,42755,41624,35411,54819,53844,159213
39412,42706,41630,35450,54809,53811,159198
39415,42695,41591,35416,54812,53791,159117
39327,42613,41576,35409,54747,53702,158925
39343,42698,41569,35423,54797,53766,159033
39336,42676,41691,35442,54819,53759,159145
39418,42714,41683,35505,54887,53838,159320
39456,42745,41720,35481,54951,53861,159402
39406,42781,41696,35429,54936,53819,159312
39403,42693,41661,35523,54964,53821,159280
39380,42718,41659,35485,54890,53829,159242
39379,42685,41685,35461,54853,53826,159210
39303,42694,41666,35448,54854,53804,159111
39263,42668,41685,35421,54744,53830,159037
39266,42694,41668,35492,54838,53825,159120
39286,42690,41661,35489,54821,53808,159126
39333,42754,41669,35450,54982,53793,159206
39351,42733,41655,35440,54898,53816,159179
39318,42685,41667,35463,54845,53820,159133
39350,42740,41685,35434,54925,53805,159209
39337,42743,41670,35415,54847,53862,159165
39305,42705,41672,35466,54876,53838,159148
39336,42733,41602,35504,54849,53873,159175
39359,42718,41653,35516,54974,53775,159246
39382,42727,41653,35443,54898,53845,159205
39333,42762,41700,35463,54917,53869,159258
39336,42699,41642,35470,54806,53881,159147
39298,42753,41678,35493,54860,53881,159222
39330,42672,41629,35423,54902,53770,159054
39323,42703,41660,35458,54870,53843,159144
39336,42653,41659,35496,54820,53895,159144
39272,42720,41666,35445,54877,53827,159103
39249,42641,41609,35427,54786,53803,158926
39281,42689,41699,35487,54845,53846,159156
39238,42701,41698,35454,54862,53844,159091
