taxel_1_left,taxel_1_up,taxel_1_right,taxel_1_down,taxel_2_left,taxel_2_up,taxel_2_right,taxel_2_down,taxel_3_left,taxel_3_up,taxel_3_right,taxel_3_down,taxel_4_left,taxel_4_up,taxel_4_right,taxel_4_down,taxel_5_left,taxel_5_up,taxel_5_right,taxel_5_down,taxel_6_left,taxel_6_up,taxel_6_right,taxel_6_down,taxel_7_left,taxel_7_up,taxel_7_right,taxel_7_down,taxel_8_left,taxel_8_up,taxel_8_right,taxel_8_down,taxel_9_left,taxel_9_up,taxel_9_right,taxel_9_down
2975,4489,3922,4334,4035,3407,4287,3657,3185,4129,3479,4900,3452,4402,4232,4638,4054,4649,4161,3801,4144,5398,5145,4973,4658,4649,5855,5627,5238,3905,5244,5340,3635,4406,5266,5404
2967,4492,3909,4332,4037,3388,4284,3657,3165,4133,3488,4859,3468,4410,4221,4649,4058,4612,4162,3784,4136,5405,5146,5012,4641,4642,5840,5625,5238,3896,5220,5338,3638,4410,5246,5417
2970,4484,3908,4332,4040,3368,4272,3661,3170,4118,3476,4874,3462,4416,4209,4630,4060,4647,4169,3777,4136,5400,5155,4966,4655,4626,5870,5616,5237,3909,5226,5338,3634,4410,5286,5413
2944,4475,3905,4331,4030,3349,4281,3662,3167,4135,3483,4856,3449,4407,4209,4629,4048,4631,4165,3769,4133,5412,5152,4965,4657,4641,5863,5607,5236,3914,5222,5341,3639,4416,5268,5393
2936,4479,3906,4325,4027,3344,4286,3664,3173,4139,3483,4897,3453,4408,4210,4644,4045,4630,4186,3786,4133,5429,5151,4945,4644,4621,5863,5586,5231,3902,5218,5338,3623,4404,5282,5378
2960,4485,3905,4330,4060,3342,4283,3659,3159,4126,3484,4854,3452,4402,4222,4627,4055,4640,4160,3779,4130,5424,5164,4968,4650,4630,5856,5589,5237,3917,5227,5344,3625,4396,5275,5393
2939,4474,3900,4339,4035,3339,4279,3662,3162,4140,3484,4861,3470,4410,4214,4642,4049,4629,4157,3770,4142,5415,5138,4982,4648,4655,5837,5617,5234,3896,5204,5336,3637,4402,5256,5401
2961,4476,3896,4338,4028,3338,4268,3659,3152,4136,3488,4860,3449,4417,4220,4646,4040,4626,4162,3764,4132,5408,5145,4957,4644,4629,5851,5607,5236,3922,5216,5333,3646,4390,5261,5395
2952,4477,3914,4328,4018,3350,4276,3667,3165,4134,3485,4875,3500,4413,4226,4630,4047,4622,4152,3776,4142,5429,5140,4966,4659,4633,5865,5596,5240,3896,5224,5335,3634,4401,5273,5408
2955,4481,3902,4333,4050,3357,4273,3670,3163,4144,3474,4884,3454,4405,4208,4655,4049,4623,4160,3771,4136,5420,5147,4964,4652,4643,5839,5582,5240,3916,5231,5345,3643,4394,5263,5384
2955,4475,3900,4331,4051,3367,4270,3651,3150,4138,3482,4843,3456,4408,4209,4648,4053,4628,4147,3777,4134,5418,5150,4956,4642,4632,5849,5597,5236,3916,5211,5342,3636,4401,5276,5377
2941,4479,3913,4332,4052,3363,4269,3660,3146,4132,3485,4868,3449,4405,4207,4644,4040,4635,4154,3769,4130,5416,5130,4980,4652,4634,5838,5599,5243,3901,5218,5346,3638,4399,5262,5376
2950,4478,3908,4314,4042,3365,4277,3665,3153,4144,3478,4879,3462,4405,4215,4672,4055,4634,4147,3774,4141,5415,5147,4979,4656,4621,5844,5601,5256,3898,5198,5336,3645,4396,5267,5398
2964,4488,3903,4332,4063,3361,4284,3650,3155,4144,3477,4860,3450,4406,4216,4632,4045,4624,4164,3767,4129,5437,5149,4946,4644,4646,5857,5588,5237,3897,5206,5341,3632,4393,5264,5390
2975,4476,3914,4331,4025,3371,4276,3666,3157,4151,3480,4858,3458,4407,4211,4660,4043,4614,4153,3771,4137,5426,5148,4974,4645,4651,5846,5600,5244,3914,5228,5339,3661,4403,5264,5398
2937,4479,3909,4327,4039,3364,4273,3657,3152,4144,3473,4823,3450,4405,4221,4648,4043,4602,4147,3762,4129,5423,5149,4973,4646,4645,5836,5585,5226,3893,5220,5346,3634,4394,5261,5396
2969,4475,3901,4324,4051,3374,4278,3656,3145,4146,3476,4860,3449,4410,4220,4625,4054,4614,4141,3779,4133,5425,5158,4977,4641,4645,5851,5585,5234,3884,5219,5341,3633,4407,5275,5381
2958,4483,3904,4331,4036,3362,4278,3660,3151,4148,3493,4887,3460,4397,4213,4648,4054,4640,4158,3785,4131,5427,5163,4974,4651,4639,5865,5618,5241,3892,5206,5337,3634,4408,5273,5388
2965,4486,3909,4337,4038,3381,4281,3668,3184,4160,3491,4901,3460,4410,4209,4674,4057,4640,4159,3791,4141,5434,5171,4981,4660,4638,5848,5609,5235,3890,5255,5334,3648,4406,5264,5387
2984,4486,3914,4332,4043,3386,4280,3668,3166,4153,3478,4854,3462,4408,4229,4660,4060,4637,4151,3786,4134,5444,5160,4995,4686,4649,5848,5593,5236,3904,5222,5340,3626,4399,5281,5405
