Format Version,1.0,
Take Name,Take 2024-01-12 06.57.43 PM,
Capture Frame Rate,120.00,
Export Frame Rate,120.00,
Capture Start Time,12 Jan 2024 18:57:44 +0800,
Total Frames In Take,2080,
Total Exported Frames,2080,
Coordinate Space,World,
Device Name,Manus_716d3b04 716d3b04_scaled,
Device Type,5,
Device Channel Count,105,
Mocap Rate,120.00,
Mocap Rate Multiple,1.00

MocapFrame, MocapTime, DeviceFrame,T-MCP X,T-MCP Y,T-MCP Z,T-MCP W,T-MCP pX,T-MCP pY,T-MCP pZ,T-PIP X,T-PIP Y,T-PIP Z,T-PIP W,T-PIP pX,T-PIP pY,T-PIP pZ,T-DIP X,T-DIP Y,T-DIP Z,T-DIP W,T-DIP pX,T-DIP pY,T-DIP pZ,I-MCP X,I-MCP Y,I-MCP Z,I-MCP W,I-MCP pX,I-MCP pY,I-MCP pZ,I-PIP X,I-PIP Y,I-PIP Z,I-PIP W,I-PIP pX,I-PIP pY,I-PIP pZ,I-DIP X,I-DIP Y,I-DIP Z,I-DIP W,I-DIP pX,I-DIP pY,I-DIP pZ,M-MCP X,M-MCP Y,M-MCP Z,M-MCP W,M-MCP pX,M-MCP pY,M-MCP pZ,M-PIP X,M-PIP Y,M-PIP Z,M-PIP W,M-PIP pX,M-PIP pY,M-PIP pZ,M-DIP X,M-DIP Y,M-DIP Z,M-DIP W,M-DIP pX,M-DIP pY,M-DIP pZ,R-MCP X,R-MCP Y,R-MCP Z,R-MCP W,R-MCP pX,R-MCP pY,R-MCP pZ,R-PIP X,R-PIP Y,R-PIP Z,R-PIP W,R-PIP pX,R-PIP pY,R-PIP pZ,R-DIP X,R-DIP Y,R-DIP Z,R-DIP W,R-DIP pX,R-DIP pY,R-DIP pZ,P-MCP X,P-MCP Y,P-MCP Z,P-MCP W,P-MCP pX,P-MCP pY,P-MCP pZ,P-PIP X,P-PIP Y,P-PIP Z,P-PIP W,P-PIP pX,P-PIP pY,P-PIP pZ,P-DIP X,P-DIP Y,P-DIP Z,P-DIP W,P-DIP pX,P-DIP pY,P-DIP pZ
0,0.000000,0,0.766274,0.362190,-0.526413,-0.067311,0.020903,-0.023747,0.033250,0.961255,-0.000126,0.195373,-0.194458,0.031635,0.000001,0.000000,0.858658,0.355855,0.141584,-0.340670,0.026981,0.000001,0.000001,0.874853,0.134515,-0.121903,-0.449086,0.072221,0.000507,0.038433,0.968098,0.036349,-0.095657,-0.228726,0.047506,0.000001,0.000001,0.957829,0.059917,-0.112714,-0.257428,0.023753,-0.000003,0.000001,0.850524,-0.021363,-0.075429,-0.520060,0.072220,0.000174,0.012810,0.986141,0.026391,-0.012528,-0.163319,0.052256,0.000003,-0.000000,0.990177,0.032272,-0.010882,-0.135609,0.028502,-0.000003,0.000001,0.889077,-0.049667,-0.053947,-0.451846,0.067692,-0.000160,-0.012813,0.994130,-0.024617,0.005949,-0.105183,0.047505,0.000002,-0.000000,0.997439,-0.024699,0.007102,-0.066739,0.023751,-0.000003,0.000000,0.891248,-0.158142,-0.011869,-0.424885,0.065428,-0.000493,-0.038436,0.996703,0.015831,0.019591,-0.077131,0.038005,0.000002,-0.000000,0.998589,0.015861,0.010909,-0.049485,0.019001,-0.000002,0.000000
1,0.008000,1,0.766283,0.362176,-0.526413,-0.067282,0.020897,-0.023752,0.033250,0.961258,-0.000126,0.195365,-0.194451,0.031635,-0.000001,-0.000000,0.858657,0.355855,0.141585,-0.340672,0.026982,0.000001,-0.000001,0.874896,0.134569,-0.121871,-0.448994,0.072220,0.000492,0.038436,0.968060,0.036425,-0.095750,-0.228835,0.047495,-0.000001,-0.000001,0.957801,0.060056,-0.112799,-0.257463,0.023748,0.000002,-0.000001,0.850392,-0.021135,-0.075296,-0.520305,0.072220,0.000160,0.012813,0.986238,0.026409,-0.012501,-0.162731,0.052245,-0.000002,0.000000,0.990273,0.032247,-0.010855,-0.134913,0.028498,0.000003,-0.000001,0.889125,-0.049664,-0.053950,-0.451751,0.067693,-0.000171,-0.012810,0.994125,-0.024617,0.005952,-0.105236,0.047496,-0.000002,0.000000,0.997437,-0.024699,0.007106,-0.066773,0.023749,0.000003,-0.000000,0.891240,-0.158011,-0.011822,-0.424952,0.065430,-0.000503,-0.038433,0.996724,0.015893,0.019508,-0.076863,0.037996,-0.000001,0.000000,0.998597,0.015923,0.010855,-0.049315,0.018999,0.000002,-0.000000
2,0.017000,2,0.766283,0.362176,-0.526413,-0.067282,0.020897,-0.023752,0.033250,0.961258,-0.000126,0.195365,-0.194451,0.031635,-0.000001,-0.000000,0.858657,0.355855,0.141585,-0.340672,0.026982,0.000001,-0.000001,0.874896,0.134569,-0.121871,-0.448994,0.072220,0.000492,0.038436,0.968060,0.036425,-0.095750,-0.228835,0.047495,-0.000001,-0.000001,0.957801,0.060056,-0.112799,-0.257463,0.023748,0.000002,-0.000001,0.850392,-0.021135,-0.075296,-0.520305,0.072220,0.000160,0.012813,0.986238,0.026409,-0.012501,-0.162731,0.052245,-0.000002,0.000000,0.990273,0.032247,-0.010855,-0.134913,0.028498,0.000003,-0.000001,0.889125,-0.049664,-0.053950,-0.451751,0.067693,-0.000171,-0.012810,0.994125,-0.024617,0.005952,-0.105236,0.047496,-0.000002,0.000000,0.997437,-0.024699,0.007106,-0.066773,0.023749,0.000003,-0.000000,0.891240,-0.158011,-0.011822,-0.424952,0.065430,-0.000503,-0.038433,0.996724,0.015893,0.019508,-0.076863,0.037996,-0.000001,0.000000,0.998597,0.015923,0.010855,-0.049315,0.018999,0.000002,-0.000000
3,0.025000,3,0.766313,0.362194,-0.526358,-0.067282,0.020900,-0.023750,0.033250,0.961262,-0.000126,0.195355,-0.194442,0.031635,-0.000000,-0.000000,0.858666,0.355859,0.141575,-0.340648,0.026981,0.000001,-0.000001,0.875013,0.134606,-0.121715,-0.448796,0.072220,0.000498,0.038435,0.967968,0.036410,-0.095902,-0.229164,0.047499,-0.000000,-0.000000,0.957725,0.060085,-0.112917,-0.257685,0.023750,0.000000,-0.000000,0.850600,-0.021389,-0.075431,-0.519935,0.072220,0.000165,0.012812,0.986090,0.026412,-0.012554,-0.163621,0.052249,-0.000000,0.000000,0.990132,0.032324,-0.010902,-0.135923,0.028500,0.000000,-0.000000,0.889179,-0.049638,-0.053943,-0.451649,0.067693,-0.000167,-0.012811,0.994130,-0.024610,0.005947,-0.105185,0.047499,-0.000000,0.000000,0.997440,-0.024692,0.007100,-0.066740,0.023750,0.000000,-0.000000,0.891255,-0.157838,-0.011768,-0.424986,0.065429,-0.000499,-0.038434,0.996738,0.015986,0.019439,-0.076679,0.037999,-0.000000,0.000000,0.998602,0.016016,0.010806,-0.049198,0.019000,0.000000,-0.000000
4,0.033000,4,0.766313,0.362194,-0.526358,-0.067282,0.020900,-0.023750,0.033250,0.961262,-0.000126,0.195355,-0.194442,0.031635,-0.000000,-0.000000,0.858666,0.355859,0.141575,-0.340648,0.026981,0.000001,-0.000001,0.875013,0.134606,-0.121715,-0.448796,0.072220,0.000498,0.038435,0.967968,0.036410,-0.095902,-0.229164,0.047499,-0.000000,-0.000000,0.957725,0.060085,-0.112917,-0.257685,0.023750,0.000000,-0.000000,0.850600,-0.021389,-0.075431,-0.519935,0.072220,0.000165,0.012812,0.986090,0.026412,-0.012554,-0.163621,0.052249,-0.000000,0.000000,0.990132,0.032324,-0.010902,-0.135923,0.028500,0.000000,-0.000000,0.889179,-0.049638,-0.053943,-0.451649,0.067693,-0.000167,-0.012811,0.994130,-0.024610,0.005947,-0.105185,0.047499,-0.000000,0.000000,0.997440,-0.024692,0.007100,-0.066740,0.023750,0.000000,-0.000000,0.891255,-0.157838,-0.011768,-0.424986,0.065429,-0.000499,-0.038434,0.996738,0.015986,0.019439,-0.076679,0.037999,-0.000000,0.000000,0.998602,0.016016,0.010806,-0.049198,0.019000,0.000000,-0.000000
5,0.042000,5,0.766325,0.362183,-0.526348,-0.067288,0.020901,-0.023750,0.033250,0.961263,-0.000126,0.195353,-0.194439,0.031635,0.000000,0.000000,0.858664,0.355859,0.141577,-0.340653,0.026981,0.000001,-0.000000,0.874968,0.134648,-0.121739,-0.448867,0.072220,0.000500,0.038434,0.968073,0.036432,-0.095729,-0.228785,0.047501,0.000000,0.000000,0.957825,0.060096,-0.112736,-0.257392,0.023750,-0.000000,0.000000,0.850560,-0.021442,-0.075295,-0.520018,0.072220,0.000168,0.012811,0.986129,0.026213,-0.012472,-0.163425,0.052251,0.000000,-0.000000,0.990175,0.032063,-0.010828,-0.135676,0.028500,-0.000000,0.000000,0.889128,-0.049607,-0.053928,-0.451754,0.067693,-0.000165,-0.012812,0.994149,-0.024596,0.005933,-0.105010,0.047501,0.000000,-0.000000,0.997447,-0.024678,0.007083,-0.066630,0.023750,-0.000001,0.000000,0.891356,-0.158013,-0.011902,-0.424706,0.065429,-0.000498,-0.038435,0.996664,0.015970,0.019672,-0.077583,0.038001,0.000000,-0.000000,0.998572,0.016001,0.010937,-0.049779,0.019000,-0.000000,0.000000
6,0.050000,6,0.766325,0.362183,-0.526348,-0.067288,0.020901,-0.023750,0.033250,0.961263,-0.000126,0.195353,-0.194439,0.031635,0.000000,0.000000,0.858664,0.355859,0.141577,-0.340653,0.026981,0.000001,-0.000000,0.874968,0.134648,-0.121739,-0.448867,0.072220,0.000500,0.038434,0.968073,0.036432,-0.095729,-0.228785,0.047501,0.000000,0.000000,0.957825,0.060096,-0.112736,-0.257392,0.023750,-0.000000,0.000000,0.850560,-0.021442,-0.075295,-0.520018,0.072220,0.000168,0.012811,0.986129,0.026213,-0.012472,-0.163425,0.052251,0.000000,-0.000000,0.990175,0.032063,-0.010828,-0.135676,0.028500,-0.000000,0.000000,0.889128,-0.049607,-0.053928,-0.451754,0.067693,-0.000165,-0.012812,0.994149,-0.024596,0.005933,-0.105010,0.047501,0.000000,-0.000000,0.997447,-0.024678,0.007083,-0.066630,0.023750,-0.000001,0.000000,0.891356,-0.158013,-0.011902,-0.424706,0.065429,-0.000498,-0.038435,0.996664,0.015970,0.019672,-0.077583,0.038001,0.000000,-0.000000,0.998572,0.016001,0.010937,-0.049779,0.019000,-0.000000,0.000000
7,0.058000,7,0.766325,0.362183,-0.526348,-0.067288,0.020901,-0.023750,0.033250,0.961263,-0.000126,0.195353,-0.194439,0.031635,0.000000,0.000000,0.858664,0.355859,0.141577,-0.340653,0.026981,0.000001,-0.000000,0.874968,0.134648,-0.121739,-0.448867,0.072220,0.000500,0.038434,0.968073,0.036432,-0.095729,-0.228785,0.047501,0.000000,0.000000,0.957825,0.060096,-0.112736,-0.257392,0.023750,-0.000000,0.000000,0.850560,-0.021442,-0.075295,-0.520018,0.072220,0.000168,0.012811,0.986129,0.026213,-0.012472,-0.163425,0.052251,0.000000,-0.000000,0.990175,0.032063,-0.010828,-0.135676,0.028500,-0.000000,0.000000,0.889128,-0.049607,-0.053928,-0.451754,0.067693,-0.000165,-0.012812,0.994149,-0.024596,0.005933,-0.105010,0.047501,0.000000,-0.000000,0.997447,-0.024678,0.007083,-0.066630,0.023750,-0.000001,0.000000,0.891356,-0.158013,-0.011902,-0.424706,0.065429,-0.000498,-0.038435,0.996664,0.015970,0.019672,-0.077583,0.038001,0.000000,-0.000000,0.998572,0.016001,0.010937,-0.049779,0.019000,-0.000000,0.000000
8,0.067000,8,0.766317,0.362165,-0.526370,-0.067301,0.020899,-0.023750,0.033250,0.961261,-0.000127,0.195357,-0.194442,0.031635,-0.000000,-0.000000,0.858660,0.355856,0.141582,-0.340664,0.026982,0.000001,-0.000001,0.874966,0.134648,-0.121739,-0.448869,0.072220,0.000497,0.038435,0.968085,0.036424,-0.095709,-0.228747,0.047499,-0.000000,-0.000000,0.957839,0.060074,-0.112712,-0.257354,0.023750,0.000000,-0.000000,0.850227,-0.021272,-0.075277,-0.520572,0.072220,0.000165,0.012812,0.986278,0.026243,-0.012421,-0.162521,0.052249,-0.000000,0.000000,0.990295,0.032040,-0.010792,-0.134805,0.028500,0.000001,-0.000000,0.889141,-0.049655,-0.053969,-0.451719,0.067693,-0.000167,-0.012811,0.994131,-0.024601,0.005945,-0.105185,0.047499,-0.000000,0.000000,0.997440,-0.024683,0.007097,-0.066741,0.023750,0.000001,-0.000000,0.891373,-0.158016,-0.011924,-0.424668,0.065429,-0.000500,-0.038434,0.996656,0.015985,0.019691,-0.077673,0.037999,-0.000000,0.000000,0.998569,0.016016,0.010946,-0.049836,0.019000,0.000000,-0.000000
9,0.075000,9,0.766317,0.362165,-0.526370,-0.067301,0.020899,-0.023750,0.033250,0.961261,-0.000127,0.195357,-0.194442,0.031635,-0.000000,-0.000000,0.858660,0.355856,0.141582,-0.340664,0.026982,0.000001,-0.000001,0.874966,0.134648,-0.121739,-0.448869,0.072220,0.000497,0.038435,0.968085,0.036424,-0.095709,-0.228747,0.047499,-0.000000,-0.000000,0.957839,0.060074,-0.112712,-0.257354,0.023750,0.000000,-0.000000,0.850227,-0.021272,-0.075277,-0.520572,0.072220,0.000165,0.012812,0.986278,0.026243,-0.012421,-0.162521,0.052249,-0.000000,0.000000,0.990295,0.032040,-0.010792,-0.134805,0.028500,0.000001,-0.000000,0.889141,-0.049655,-0.053969,-0.451719,0.067693,-0.000167,-0.012811,0.994131,-0.024601,0.005945,-0.105185,0.047499,-0.000000,0.000000,0.997440,-0.024683,0.007097,-0.066741,0.023750,0.000001,-0.000000,0.891373,-0.158016,-0.011924,-0.424668,0.065429,-0.000500,-0.038434,0.996656,0.015985,0.019691,-0.077673,0.037999,-0.000000,0.000000,0.998569,0.016016,0.010946,-0.049836,0.019000,0.000000,-0.000000
