Format Version,1.0,
Take Name,Take 2024-01-12 06.57.43 PM,
Capture Frame Rate,120.00,
Export Frame Rate,120.00,
Capture Start Time,12 Jan 2024 18:57:44 +0800,
Total Frames In Take,2080,
Total Exported Frames,2080,
Coordinate Space,World,
Device Name,Manus_841e3a69 841e3a69_scaled,
Device Type,5,
Device Channel Count,105,
Mocap Rate,120.00,
Mocap Rate Multiple,1.00

MocapFrame, MocapTime, DeviceFrame,T-MCP X,T-MCP Y,T-MCP Z,T-MCP W,T-MCP pX,T-MCP pY,T-MCP pZ,T-PIP X,T-PIP Y,T-PIP Z,T-PIP W,T-PIP pX,T-PIP pY,T-PIP pZ,T-DIP X,T-DIP Y,T-DIP Z,T-DIP W,T-DIP pX,T-DIP pY,T-DIP pZ,I-MCP X,I-MCP Y,I-MCP Z,I-MCP W,I-MCP pX,I-MCP pY,I-MCP pZ,I-PIP X,I-PIP Y,I-PIP Z,I-PIP W,I-PIP pX,I-PIP pY,I-PIP pZ,I-DIP X,I-DIP Y,I-DIP Z,I-DIP W,I-DIP pX,I-DIP pY,I-DIP pZ,M-MCP X,M-MCP Y,M-MCP Z,M-MCP W,M-MCP pX,M-MCP pY,M-MCP pZ,M-PIP X,M-PIP Y,M-PIP Z,M-PIP W,M-PIP pX,M-PIP pY,M-PIP pZ,M-DIP X,M-DIP Y,M-DIP Z,M-DIP W,M-DIP pX,M-DIP pY,M-DIP pZ,R-MCP X,R-MCP Y,R-MCP Z,R-MCP W,R-MCP pX,R-MCP pY,R-MCP pZ,R-PIP X,R-PIP Y,R-PIP Z,R-PIP W,R-PIP pX,R-PIP pY,R-PIP pZ,R-DIP X,R-DIP Y,R-DIP Z,R-DIP W,R-DIP pX,R-DIP pY,R-DIP pZ,P-MCP X,P-MCP Y,P-MCP Z,P-MCP W,P-MCP pX,P-MCP pY,P-MCP pZ,P-PIP X,P-PIP Y,P-PIP Z,P-PIP W,P-PIP pX,P-PIP pY,P-PIP pZ,P-DIP X,P-DIP Y,P-DIP Z,P-DIP W,P-DIP pX,P-DIP pY,P-DIP pZ
0,0.000000,0,-0.922079,-0.177999,0.326663,0.106386,-0.020900,-0.023750,0.033250,-0.996004,-0.000000,-0.063150,0.063150,-0.031647,0.000004,-0.000009,-0.922830,-0.382760,-0.016633,0.040205,-0.026993,-0.000004,0.000011,-0.969470,-0.167000,0.036950,0.175711,-0.071117,0.000334,0.038519,-0.961514,-0.024290,0.105094,0.252699,-0.047500,-0.000001,0.000001,-0.975414,-0.028064,0.092354,0.198116,-0.023750,-0.000000,0.000001,-0.964049,-0.031246,0.044017,0.260185,-0.071117,0.000111,0.012840,-0.988910,-0.042963,0.020137,0.140734,-0.052251,-0.000001,0.000001,-0.994944,-0.043225,0.020575,0.088287,-0.028500,-0.000001,0.000001,-0.938864,-0.019091,0.050207,0.340072,-0.068081,-0.000111,-0.012839,-0.995937,-0.027616,0.008133,0.085322,-0.047501,-0.000000,0.000001,-0.998126,-0.027677,0.008183,0.053965,-0.023750,-0.000001,0.000000,-0.927479,0.183250,-0.028614,0.324628,-0.066564,-0.000334,-0.038518,-0.977981,0.037354,-0.083126,0.187745,-0.038001,-0.000000,0.000000,-0.990631,0.037837,-0.062121,0.115581,-0.019000,-0.000001,0.000000
1,0.008000,1,-0.922068,-0.177993,0.326714,0.106339,-0.020900,-0.023750,0.033250,-0.995997,-0.000000,-0.063205,0.063205,-0.031647,0.000004,-0.000009,-0.922825,-0.382757,-0.016687,0.040337,-0.026993,-0.000004,0.000011,-0.969485,-0.166980,0.036936,0.175646,-0.071117,0.000334,0.038519,-0.961466,-0.024271,0.105148,0.252861,-0.047500,-0.000001,0.000001,-0.975384,-0.028045,0.092401,0.198246,-0.023750,-0.000000,0.000001,-0.963877,-0.031293,0.044051,0.260808,-0.071117,0.000111,0.012840,-0.989003,-0.043004,0.020060,0.140078,-0.052251,-0.000001,0.000001,-0.994981,-0.043264,0.020496,0.087872,-0.028500,-0.000001,0.000001,-0.938901,-0.019013,0.050174,0.339979,-0.068081,-0.000111,-0.012839,-0.995923,-0.027541,0.008132,0.085515,-0.047501,-0.000000,0.000001,-0.998121,-0.027602,0.008181,0.054089,-0.023750,-0.000001,0.000000,-0.927427,0.183337,-0.028562,0.324731,-0.066564,-0.000334,-0.038518,-0.977993,0.037369,-0.083110,0.187685,-0.038001,-0.000000,0.000000,-0.990636,0.037853,-0.062111,0.115542,-0.019000,-0.000001,0.000000
2,0.017000,2,-0.922068,-0.177993,0.326714,0.106339,-0.020900,-0.023750,0.033250,-0.995997,-0.000000,-0.063205,0.063205,-0.031647,0.000004,-0.000009,-0.922825,-0.382757,-0.016687,0.040337,-0.026993,-0.000004,0.000011,-0.969485,-0.166980,0.036936,0.175646,-0.071117,0.000334,0.038519,-0.961466,-0.024271,0.105148,0.252861,-0.047500,-0.000001,0.000001,-0.975384,-0.028045,0.092401,0.198246,-0.023750,-0.000000,0.000001,-0.963877,-0.031293,0.044051,0.260808,-0.071117,0.000111,0.012840,-0.989003,-0.043004,0.020060,0.140078,-0.052251,-0.000001,0.000001,-0.994981,-0.043264,0.020496,0.087872,-0.028500,-0.000001,0.000001,-0.938901,-0.019013,0.050174,0.339979,-0.068081,-0.000111,-0.012839,-0.995923,-0.027541,0.008132,0.085515,-0.047501,-0.000000,0.000001,-0.998121,-0.027602,0.008181,0.054089,-0.023750,-0.000001,0.000000,-0.927427,0.183337,-0.028562,0.324731,-0.066564,-0.000334,-0.038518,-0.977993,0.037369,-0.083110,0.187685,-0.038001,-0.000000,0.000000,-0.990636,0.037853,-0.062111,0.115542,-0.019000,-0.000001,0.000000
3,0.025000,3,-0.922060,-0.178031,0.326725,0.106307,-0.020900,-0.023750,0.033250,-0.995994,-0.000000,-0.063230,0.063230,-0.031647,0.000004,-0.000009,-0.922823,-0.382756,-0.016708,0.040386,-0.026993,-0.000004,0.000011,-0.969438,-0.166949,0.037049,0.175913,-0.071117,0.000334,0.038519,-0.961496,-0.024278,0.105105,0.252763,-0.047500,-0.000001,0.000001,-0.975386,-0.028051,0.092394,0.198240,-0.023750,-0.000000,0.000001,-0.963917,-0.031319,0.043969,0.260673,-0.071117,0.000111,0.012840,-0.988974,-0.042997,0.020086,0.140281,-0.052251,-0.000001,0.000001,-0.994969,-0.043258,0.020523,0.088000,-0.028500,-0.000001,0.000001,-0.939015,-0.018258,0.050923,0.339594,-0.068081,-0.000111,-0.012839,-0.995902,-0.027215,0.008081,0.085869,-0.047501,-0.000000,0.000001,-0.998118,-0.027275,0.008125,0.054322,-0.023750,-0.000001,0.000000,-0.927354,0.183381,-0.028552,0.324918,-0.066564,-0.000334,-0.038518,-0.978058,0.037379,-0.082989,0.187401,-0.038001,-0.000000,0.000000,-0.990662,0.037860,-0.062021,0.115364,-0.019000,-0.000001,0.000000
4,0.033000,4,-0.922060,-0.178031,0.326725,0.106307,-0.020900,-0.023750,0.033250,-0.995994,-0.000000,-0.063230,0.063230,-0.031647,0.000004,-0.000009,-0.922823,-0.382756,-0.016708,0.040386,-0.026993,-0.000004,0.000011,-0.969438,-0.166949,0.037049,0.175913,-0.071117,0.000334,0.038519,-0.961496,-0.024278,0.105105,0.252763,-0.047500,-0.000001,0.000001,-0.975386,-0.028051,0.092394,0.198240,-0.023750,-0.000000,0.000001,-0.963917,-0.031319,0.043969,0.260673,-0.071117,0.000111,0.012840,-0.988974,-0.042997,0.020086,0.140281,-0.052251,-0.000001,0.000001,-0.994969,-0.043258,0.020523,0.088000,-0.028500,-0.000001,0.000001,-0.939015,-0.018258,0.050923,0.339594,-0.068081,-0.000111,-0.012839,-0.995902,-0.027215,0.008081,0.085869,-0.047501,-0.000000,0.000001,-0.998118,-0.027275,0.008125,0.054322,-0.023750,-0.000001,0.000000,-0.927354,0.183381,-0.028552,0.324918,-0.066564,-0.000334,-0.038518,-0.978058,0.037379,-0.082989,0.187401,-0.038001,-0.000000,0.000000,-0.990662,0.037860,-0.062021,0.115364,-0.019000,-0.000001,0.000000
5,0.042000,5,-0.922086,-0.178140,0.326534,0.106481,-0.020899,-0.023750,0.033250,-0.995997,0.000000,-0.063203,0.063203,-0.031648,0.000005,-0.000011,-0.922826,-0.382758,-0.016675,0.040307,-0.026993,-0.000003,0.000010,-0.969417,-0.166906,0.037086,0.176062,-0.071118,0.000334,0.038519,-0.961394,-0.024248,0.105216,0.253107,-0.047500,0.000002,-0.000003,-0.975288,-0.028019,0.092556,0.198648,-0.023749,0.000001,-0.000001,-0.963915,-0.031492,0.043897,0.260672,-0.071119,0.000111,0.012839,-0.988873,-0.043140,0.020242,0.140926,-0.052249,0.000002,-0.000002,-0.994924,-0.043403,0.020684,0.088396,-0.028499,0.000001,-0.000001,-0.939233,-0.017938,0.051559,0.338912,-0.068083,-0.000112,-0.012841,-0.995762,-0.027260,0.008243,0.087452,-0.047498,0.000001,-0.000002,-0.998060,-0.027323,0.008289,0.055323,-0.023749,0.000001,-0.000001,-0.927495,0.183473,-0.028387,0.324477,-0.066565,-0.000335,-0.038520,-0.977972,0.037369,-0.083150,0.187775,-0.037998,0.000001,-0.000001,-0.990627,0.037853,-0.062141,0.115598,-0.018999,0.000001,-0.000000
6,0.050000,6,-0.922086,-0.178140,0.326534,0.106481,-0.020899,-0.023750,0.033250,-0.995997,0.000000,-0.063203,0.063203,-0.031648,0.000005,-0.000011,-0.922826,-0.382758,-0.016675,0.040307,-0.026993,-0.000003,0.000010,-0.969417,-0.166906,0.037086,0.176062,-0.071118,0.000334,0.038519,-0.961394,-0.024248,0.105216,0.253107,-0.047500,0.000002,-0.000003,-0.975288,-0.028019,0.092556,0.198648,-0.023749,0.000001,-0.000001,-0.963915,-0.031492,0.043897,0.260672,-0.071119,0.000111,0.012839,-0.988873,-0.043140,0.020242,0.140926,-0.052249,0.000002,-0.000002,-0.994924,-0.043403,0.020684,0.088396,-0.028499,0.000001,-0.000001,-0.939233,-0.017938,0.051559,0.338912,-0.068083,-0.000112,-0.012841,-0.995762,-0.027260,0.008243,0.087452,-0.047498,0.000001,-0.000002,-0.998060,-0.027323,0.008289,0.055323,-0.023749,0.000001,-0.000001,-0.927495,0.183473,-0.028387,0.324477,-0.066565,-0.000335,-0.038520,-0.977972,0.037369,-0.083150,0.187775,-0.037998,0.000001,-0.000001,-0.990627,0.037853,-0.062141,0.115598,-0.018999,0.000001,-0.000000
7,0.058000,7,-0.922086,-0.178140,0.326534,0.106481,-0.020899,-0.023750,0.033250,-0.995997,0.000000,-0.063203,0.063203,-0.031648,0.000005,-0.000011,-0.922826,-0.382758,-0.016675,0.040307,-0.026993,-0.000003,0.000010,-0.969417,-0.166906,0.037086,0.176062,-0.071118,0.000334,0.038519,-0.961394,-0.024248,0.105216,0.253107,-0.047500,0.000002,-0.000003,-0.975288,-0.028019,0.092556,0.198648,-0.023749,0.000001,-0.000001,-0.963915,-0.031492,0.043897,0.260672,-0.071119,0.000111,0.012839,-0.988873,-0.043140,0.020242,0.140926,-0.052249,0.000002,-0.000002,-0.994924,-0.043403,0.020684,0.088396,-0.028499,0.000001,-0.000001,-0.939233,-0.017938,0.051559,0.338912,-0.068083,-0.000112,-0.012841,-0.995762,-0.027260,0.008243,0.087452,-0.047498,0.000001,-0.000002,-0.998060,-0.027323,0.008289,0.055323,-0.023749,0.000001,-0.000001,-0.927495,0.183473,-0.028387,0.324477,-0.066565,-0.000335,-0.038520,-0.977972,0.037369,-0.083150,0.187775,-0.037998,0.000001,-0.000001,-0.990627,0.037853,-0.062141,0.115598,-0.018999,0.000001,-0.000000
8,0.067000,8,-0.922088,-0.178149,0.326525,0.106484,-0.020899,-0.023749,0.033251,-0.995998,-0.000000,-0.063198,0.063198,-0.031648,0.000006,-0.000012,-0.922826,-0.382758,-0.016669,0.040292,-0.026993,-0.000003,0.000009,-0.969424,-0.166916,0.037079,0.176015,-0.071119,0.000334,0.038520,-0.961424,-0.024257,0.105182,0.253008,-0.047500,0.000003,-0.000005,-0.975309,-0.028029,0.092521,0.198563,-0.023748,0.000002,-0.000003,-0.963965,-0.031298,0.043881,0.260513,-0.071119,0.000111,0.012839,-0.988828,-0.042966,0.020220,0.141292,-0.052248,0.000003,-0.000004,-0.994911,-0.043230,0.020660,0.088639,-0.028498,0.000003,-0.000003,-0.939206,-0.017993,0.051533,0.338988,-0.068084,-0.000113,-0.012841,-0.995765,-0.027297,0.008248,0.087406,-0.047496,0.000002,-0.000004,-0.998061,-0.027360,0.008295,0.055294,-0.023749,0.000002,-0.000002,-0.927477,0.183463,-0.028403,0.324532,-0.066566,-0.000336,-0.038522,-0.977973,0.037367,-0.083147,0.187773,-0.037996,0.000002,-0.000002,-0.990628,0.037850,-0.062139,0.115597,-0.018998,0.000002,-0.000001
9,0.075000,9,-0.922088,-0.178149,0.326525,0.106484,-0.020899,-0.023749,0.033251,-0.995998,-0.000000,-0.063198,0.063198,-0.031648,0.000006,-0.000012,-0.922826,-0.382758,-0.016669,0.040292,-0.026993,-0.000003,0.000009,-0.969424,-0.166916,0.037079,0.176015,-0.071119,0.000334,0.038520,-0.961424,-0.024257,0.105182,0.253008,-0.047500,0.000003,-0.000005,-0.975309,-0.028029,0.092521,0.198563,-0.023748,0.000002,-0.000003,-0.963965,-0.031298,0.043881,0.260513,-0.071119,0.000111,0.012839,-0.988828,-0.042966,0.020220,0.141292,-0.052248,0.000003,-0.000004,-0.994911,-0.043230,0.020660,0.088639,-0.028498,0.000003,-0.000003,-0.939206,-0.017993,0.051533,0.338988,-0.068084,-0.000113,-0.012841,-0.995765,-0.027297,0.008248,0.087406,-0.047496,0.000002,-0.000004,-0.998061,-0.027360,0.008295,0.055294,-0.023749,0.000002,-0.000002,-0.927477,0.183463,-0.028403,0.324532,-0.066566,-0.000336,-0.038522,-0.977973,0.037367,-0.083147,0.187773,-0.037996,0.000002,-0.000002,-0.990628,0.037850,-0.062139,0.115597,-0.018998,0.000002,-0.000001
