__author__    = "Westwood Robotics Corporation"
__email__     = "info@westwoodrobotics.io"
__copyright__ = "Copyright 2024 Westwood Robotics Corporation"
__date__      = "February 29, 2024"
__project__   = "BRUCE"
__version__   = "0.0.5"
__status__    = "Product"

Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.02259605,-0.00011305,0.06140054,0,0,0,1.31688922,0.0133543,-3.36E-06,0.00182725,0.01023631,-1.163E-05,0.005471,0,0,0,0,0,0,package://bruce/meshes/base_link.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/base_link.STL,,BR01_BODY_simplified-2,BODY,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_yaw_link_r,2.71E-06,-0.00024824,0.00522427,0,0,0,0.63756264,0.00048541,1.12E-06,1.74E-06,0.00161689,-7.02E-06,0.00152129,0,0,0,0,0,0,package://bruce/meshes/hip_yaw_link_r.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/hip_yaw_link_r.STL,,BR01_HIP_DUMMY_simplified-1,Joint1,Axis1,hip_yaw_r,revolute,0.029216,-0.075855745,-0.039765,0,0,-1.570796327,base_link,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
hip_roll_link_r,-1.51E-07,0,6.88E-06,0,0,0,0.05,1.00E-05,1.00E-20,1.00E-20,1E-05,1.00E-20,1E-05,0,0,0,0,0,0,package://bruce/meshes/hip_roll_link_r.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/hip_roll_link_r.STL,,BR01_HIP_SHAFT-2,Joint2,Axis2,hip_roll_r,revolute,0,0,0,-1.570796327,1.570796327,0,hip_yaw_link_r,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
hip_pitch_link_r,0.14071429,-0.0086817,0.00167429,0,0,0,0.72848988,0.00050614,-0.00065644,0.00019343,0.01792426,1.68E-06,0.01819732,0,0,0,0,0,0,package://bruce/meshes/hip_pitch_link_r.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/hip_pitch_link_r.STL,,BR01_THIGH_R_DUMMY_simplified-1,Joint3,Axis3,hip_pitch_r,revolute,0,0,0,1.570796327,0,0,hip_roll_link_r,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
knee_pitch_link_r,0.07293079,0.01746447,0.00216432,0,0,0,0.09566544,0.00010962,5.276E-05,1.568E-05,0.00101941,-6.68E-06,0.00108317,0,0,0,0,0,0,package://bruce/meshes/knee_pitch_link_r.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/knee_pitch_link_r.STL,,BR01_CALF_R_DUMMY-1,Joint4,Axis4,knee_pitch_r,revolute,0.204949408,0,0,0,0,0,hip_pitch_link_r,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
ankle_pitch_link_r,0.0120775,0.0019746,0.00029511,0,0,0,0.02762647,2.043E-05,2.87E-06,-3E-08,6.2E-06,-2.4E-07,2.588E-05,0,0,0,0,0,0,package://bruce/meshes/ankle_pitch_link_r.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://bruce/meshes/ankle_pitch_link_r.STL,,BR01_FOOT_R_DUMMY-1,Joint5,Axis5,ankle_pitch_r,revolute,0.199880614,0,0,0,0,0,knee_pitch_link_r,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
hip_yaw_link_l,0,-0.00020849,0.00528032,0,0,0,0.63738621,0.0004852,0,-1.6E-07,0.0016181,-7.5E-06,0.00152105,0,0,0,0,0,0,package://bruce/meshes/hip_yaw_link_l.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/hip_yaw_link_l.STL,,BR01_HIP_DUMMY_simplified-2,Joint6,Axis6,hip_yaw_l,revolute,0.029216,0.075855745,-0.039765,0,0,-1.570796327,base_link,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
hip_roll_link_l,-1.51E-07,0,6.88E-06,0,0,0,0.05,1E-05,1.00E-20,1.00E-20,1E-05,1.00E-20,1E-05,0,0,0,0,0,0,package://bruce/meshes/hip_roll_link_l.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/hip_roll_link_l.STL,,BR01_HIP_SHAFT-3,Joint7,Axis7,hip_roll_l,revolute,0,0,0,1.570796327,1.570796327,3.14159,hip_yaw_link_l,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
hip_pitch_link_l,0.1424467,-0.00832054,0.00049317,0,0,0,0.72062828,0.00048935,-0.00066556,-0.0001932,0.01792901,3.2E-07,0.01819268,0,0,0,0,0,0,package://bruce/meshes/hip_pitch_link_l.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/hip_pitch_link_l.STL,,BR01_THIGH_L_DUMMY_simplified-1,Joint8,Axis8,hip_pitch_l,revolute,0,0,0,1.570796327,0,0,hip_roll_link_l,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
knee_pitch_link_l,0.07309957,0.01781024,-0.00219767,0,0,0,0.09526543,0.00010799,5.259E-05,-1.742E-05,0.00101705,6.07E-06,0.0010792,0,0,0,0,0,0,package://bruce/meshes/knee_pitch_link_l.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/knee_pitch_link_l.STL,,BR01_CALF_R_DUMMY-2,Joint9,Axis9,knee_pitch_l,revolute,0.204949408,0,0,0,0,0,hip_pitch_link_l,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
ankle_pitch_link_l,0.01233982,0.00253004,-0.00030441,0,0,0,0.02748291,2.042E-05,2.91E-06,3E-08,6.27E-06,2.4E-07,2.602E-05,0,0,0,0,0,0,package://bruce/meshes/ankle_pitch_link_l.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://bruce/meshes/ankle_pitch_link_l.STL,,BR01_FOOT_L_DUMMY-1,Joint10,Axis10,ankle_pitch_l,revolute,0.199880614,0,0,0,0,0,knee_pitch_link_l,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
shoulder_pitch_link_r,0,-0.00038323,-0.01413682,0,0,0,0.04931686,2.507E-05,0,0,2.403E-05,1.8E-07,8.32E-06,0,0,0,0,0,0,package://bruce/meshes/shoulder_pitch_link_r.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/shoulder_pitch_link_r.STL,,BR01_SHOULDER-2,Joint11,Axis11,shoulder_pitch_r,revolute,0.029216,-0.12375,0.152985,1.570796327,-1.570796327,0,base_link,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
shoulder_roll_link_r,0.05709386,-0.00419463,0.00093738,0,0,0,0.024,7.75E-06,-6.9E-06,2.62E-06,0.00012556,-1.1E-07,0.00012619,0,0,0,0,0,0,package://bruce/meshes/shoulder_roll_link_r.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/shoulder_roll_link_r.STL,,BR01_ARM_R-1,Joint12,Axis12,shoulder_roll_r,revolute,0,0,0,1.570796327,-1.570796327,0,shoulder_pitch_link_r,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
elbow_pitch_link_r,0.02178843,0,0.0003604,0,0,0,0.05244037,7.53E-06,0,1.8E-07,7.261E-05,0,7.103E-05,0,0,0,0,0,0,package://bruce/meshes/elbow_pitch_link_r.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/elbow_pitch_link_r.STL,,BR01_FOREARM-2,Joint13,Axis13,elbow_pitch_r,revolute,0.1146,-0.005,0.005,1.570796327,0,0,shoulder_roll_link_r,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
shoulder_pitch_link_l,0,0.00038323,-0.01413682,0,0,0,0.04931686,2.507E-05,0,0,2.403E-05,-1.8E-07,8.32E-06,0,0,0,0,0,0,package://bruce/meshes/shoulder_pitch_link_l.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/shoulder_pitch_link_l.STL,,BR01_SHOULDER-1,Joint14,Axis14,shoulder_pitch_l,revolute,0.029216,0.12375,0.152985,-1.570796327,1.570796327,0,base_link,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
shoulder_roll_link_l,0.05709387,0.00419463,0.00094155,0,0,0,0.03136525,1.013E-05,9.02E-06,3.42E-06,0.00016409,1.5E-07,0.00016491,0,0,0,0,0,0,package://bruce/meshes/shoulder_roll_link_l.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/shoulder_roll_link_l.STL,,BR01_ARM_L-1,Joint15,Axis15,shoulder_roll_l,revolute,0,0,0,1.570796327,-1.570796327,0,shoulder_pitch_link_l,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
elbow_pitch_link_l,0.02178843,0,0.0003604,0,0,0,0.05244037,7.53E-06,0,1.8E-07,7.261E-05,0,7.103E-05,0,0,0,0,0,0,package://bruce/meshes/elbow_pitch_link_l.STL,0.752941176,0.752941176,0.752941176,1,0,0,0,0,0,0,package://bruce/meshes/elbow_pitch_link_l.STL,,BR01_FOREARM-1,Joint16,Axis16,elbow_pitch_l,revolute,0.1146,0.005,0.005,-1.570796327,0,0,shoulder_roll_link_l,0,0,1,1000,1000,-3.1415,3.1415,,,0.002,,,,,
