Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
TORSO,-0.00785238905615515,-0.00439176851960852,-0.434845226080249,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/TORSO.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/TORSO.STL,,3TORSO-2,Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
SCAPULA_R,-0.00646515657504101,-0.277777523831803,0.312055529138348,0,0,0,25.9304036556032,4.30322251593693,0.0171224879299573,-0.0282979518595639,3.32315600789368,0.926428155612619,1.09852228931174,0,0,0,0,0,0,package://3N2-JUNE/meshes/SCAPULA_R.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/SCAPULA_R.STL,,3RA-1-2,RArm Frame1,RArm Axis1,Shoulder_Y_R,revolute,-0.00138723248111385,-0.158687981083071,-0.0466034395598998,2.79252680319093,0,0,TORSO,0,-1,0,54.67,4.58,-3.14,1.22,,,,,,,,
SHOULDER_R,-0.0064651565750415,0.224963302998176,-0.413962503980782,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/SHOULDER_R.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/SHOULDER_R.STL,,3RA-2-2,RArm Frame2,RArm Axis2,Shoulder_X_R,revolute,0,0.0752023468861673,0,-2.79252680319093,0,0,SCAPULA_R,1,0,0,54.67,4.58,-2.26,0,,,,,,,,
UPPERARM_R,-0.00645515655852015,0.224963302998208,-0.329462504089342,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/UPPERARM_R.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/UPPERARM_R.STL,,3RA-3-2,RArm Frame3,RArm Axis3,Shoulder_Z_R,revolute,-1.00000165213499E-05,0,-0.08449999989144,0,0,0,SHOULDER_R,0,0,1,54.67,4.58,-2.09,2.09,,,,,,,,
FOREARM_R,-0.00645515656392481,0.224963302998207,-0.183962052391409,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/FOREARM_R.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/FOREARM_R.STL,,3RA-4-2,RArm Frame4,RArm Axis4,Elbow_R,revolute,0,0,-0.145500451697933,0,0,0,UPPERARM_R,0,1,0,33,7.17,-1.57,0,,,,,,,,
WRIST_REVOLUTE_R,-0.00645515656388007,0.224962690413193,-0.115537678757091,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/WRIST_REVOLUTE_R.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/WRIST_REVOLUTE_R.STL,,3RA-5-2,RArm Frame5,RArm Axis5,Wrist_Z_R,revolute,0,0,-0.0684243736343182,0,0,0,FOREARM_R,0,0,1,15,4.58,-2.96,2.96,,,,,,,,
WRIST_UPDOWN_R,-0.00645515656403976,0.22496269041319,0.0860423212910959,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/WRIST_UPDOWN_R.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/WRIST_UPDOWN_R.STL,,3RA-6-2,RArm Frame6,RArm Axis6,Wrist_Y_R,revolute,0,0,-0.201580000048187,0,0,0,WRIST_REVOLUTE_R,0,-1,0,7,3.62,-0.87,0.87,,,,,,,,
HAND_R,-0.00645515656403976,0.22496269041319,0.0860423212910959,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/HAND_R.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/HAND_R.STL,,3-灵巧手-右手-2;3RA-7-2,RArm Frame7,RArm Axis7,Wrist_X_R,revolute,0,0,0,0,0,0,WRIST_UPDOWN_R,1,0,0,7,3.62,-0.87,1.57,,,,,,,,
SCAPULA_L,-0.00646515657504169,-0.28603134877195,-0.309051382541286,0,0,0,25.9304036556032,4.30322251593693,0.00507298610370806,0.0326836118620404,3.31634457446292,-0.934545705874443,1.1053337227425,0,0,0,0,0,0,package://3N2-JUNE/meshes/SCAPULA_L.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/SCAPULA_L.STL,,3LA-1-2,LArm Frame1,LArm Axis1,Shoulder_Y_L,revolute,-0.00138723248111634,0.158687981083071,-0.0466034395599046,0.349065850398855,0,0,TORSO,0,1,0,54.67,4.58,-1.22,3.14,,,,,,,,
SHOULDER_L,-0.00646515657503806,-0.233746840139784,-0.413962504018045,0,0,0,25.9304036556032,4.30322251593693,-0.00641140600644516,0.0324476123216818,3.65841983734266,-0.00529835464166608,0.763258459862768,0,0,0,0,0,0,package://3N2-JUNE/meshes/SHOULDER_L.STL,1,1,1,1,0,0,0,0,0,0,package://3N2-JUNE/meshes/SHOULDER_L.STL,,3LA-2-2,LArm Frame2,LArm Axis2,Shoulder_X_L,revolute,0,0.0752023469951288,0,-0.349065850398855,0,0,SCAPULA_L,1,0,0,54.67,4.58,0,2.26,,,,,,,,
